ETF_CODE,ETF_NAME,SOURCE
1627,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,ICE
1628,NEXT FUNDS TOPIX-17 TRANSPORTATION & LOGISTICS ETF,ICE
1629,NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF,ICE
1630,NEXT FUNDS TOPIX-17 RETAIL TRADE ETF,ICE
1631,NEXT FUNDS TOPIX-17 BANKS ETF,ICE
1632,NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF,ICE
1633,NEXT FUNDS TOPIX-17 REAL ESTATE ETF,ICE
1651,iFreeETF TOPIX High Dividend Yield 40 Index,SPG
1652,iFreeETF MSCI Japan Empowering Women Index (WIN),SPG
1653,iFreeETF MSCI Japan ESG Select Leaders Index,SPG
1654,iFreeETF FTSE JPX Blossom Japan Index,SPG
1655,iShares S&P 500 ETF,ICE
1656,iShares Core 7-10 Year US Treasury Bond ETF,ICE
1657,iShares Core MSCI Kokusai ETF,ICE
1658,iShares Core MSCI Emerging Markets IMI ETF,ICE
1659,iShares US REIT ETF,ICE
1660,MAXIS High Yield J-REIT ETF,ICE
1677,Listed Index Fund International Bond (Citi WGBI) Monthly Dividend Payment Type,SPG
1678,NEXT FUNDS Nifty Linked Exchange Traded Fund,ICE
1680,Listed Index Fund International Developed Countries Equity (MSCI-KOKUSAI),SPG
1681,Listed Index Fund International Emerging Countries Equity (MSCI EMERGING),SPG
1698,Listed Index Fund Japan High Dividend (TSE Dividend Focus 100),SPG
1699,NEXT FUNDS NOMURA Crude Oil Long Index Linked Exchange Traded Fund,ICE
170A,SMT ETF Japan Equity Income Strategy Active,ICE
178A,Global X Innovative Bluechip Top 10+ ETF,SOLACTIVE
179A,Global X 25+ Year T-Bond ETF (JPY Hedged),ICE
180A,Global X 25+ Year T-Bond ETF,ICE
181A,MAXIS US Treasury Bond 1-3 Year ETF (Unhedged),ICE
182A,MAXIS US Treasury Bond 20+ Year ETF (Unhedged),ICE
183A,MAXIS US Treasury Bond 20+ Year ETF (JPY Hedged),ICE
188A,Global X India Top 10+ ETF,SOLACTIVE
200A,NEXT FUNDS Nikkei Semiconductor Stock Index Exchange Traded Fund,ICE
2011,SMDAM Active ETF Japan High Dividend Equity,ICE
2012,iShares 0-3 Month US Treasury Bond ETF,ICE
2013,iShares US High Dividend ETF,ICE
2014,iShares US Dividend Growth ETF,ICE
2015,iFreeETF US Treasury 7-10 year (NON-HEDGE),SPG
2016,iFreeETF US Treasury 7-10 year (JP HEDGE),SPG
2017,iFreeETF JPX Prime 150,SPG
2018,Global X US REIT Top 20 ETF,SOLACTIVE
2019,Global X U.S. Preferred Security ETF (Bi-monthly dividend type),SOLACTIVE
2080,PBR Improvement over 1x ETF,ICE
2081,Strategic Shareholding Disposal Promotion ETF,ICE
2082,Investor-Management Unite as One ETF,ICE
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,ICE
2084,NEXT FUNDS Japan High Dividend Equity Active Exchange Traded Fund,ICE
2085,MAXIS High Dividend Japan Equity Actively Managed ETF,ICE
2086,NZAM S&P 500 in TTM Rates JPY Hedged Index,SPG
2087,NZAM NASDAQ-100 Notional Net Total Return Index,SPG
2088,NZAM Dow Jones Industrial Average JPY Hedged (TTM) (Japan Calendar),SPG
2089,NZAM DAX Index,SPG
