STOCK_CODE,STOCK_NAME,ACTIVE_BUY,PASSIVE_BUY,TOTAL_BUY,ACTIVE_RATIO,ACTIVE_RATIO_PCT,ACTIVE_FLAG,PASSIVE_FLAG
3891,NIPPON KODOSHI,300.0,0.0,300.0,1.0,100.0,1,0
6856,HORIBA LTD,10.759107,0.0,10.759107,1.0,100.0,1,0
9983,FAST RETAILING CO,1.7651610000000062,0.0,1.7651610000000062,1.0,100.0,1,0
6806,HIROSE ELECTRIC,-0.2123520000000098,0.0,-0.2123520000000098,1.0,100.0,1,0
9744,MEITEC GROUP HLDGS,-6.044800000000578,0.0,-6.044800000000578,1.0,100.0,1,0
6869,SYSMEX CORP,-3.20162100000016,0.0,-3.20162100000016,1.0,100.0,1,0
6965,HAMAMATSU PHOTONIC,-2.433886000000029,0.0,-2.433886000000029,1.0,100.0,1,0
4716,ORACLE CORP JAPAN,-0.5227130000000102,0.0,-0.5227130000000102,1.0,100.0,1,0
9435,HIKARI TSUSHIN INC,-0.3302300000000002,0.0,-0.3302300000000002,1.0,100.0,1,0
3661,M UP HOLDINGS INC,1300.0,500.0,1800.0,0.7222222222222222,72.22222222222221,1,1
7202,ISUZU MOTORS,3397.8536410000006,-1600.0,1797.8536410000006,0.6798625740309069,67.98625740309069,1,1
6787,MEIKO ELECTRONICS,100.0,-100.0,0.0,0.5,50.0,1,1
3105,NISSHINBO HOLDINGS,1400.0,1500.0,2900.0,0.4827586206896552,48.27586206896552,1,1
7550,ZENSHO HOLDINGS,-1300.506379,-1800.0,-3100.506379,0.4194496704823583,41.94496704823583,1,1
7936,ASICS CORP,598.823894,1100.0,1698.823894,0.3524932137550921,35.24932137550921,1,1
9697,CAPCOM CO LTD,-1701.339454,3700.0,1998.660546,0.3149847308226594,31.49847308226594,1,1
8830,SUMITOMO RLTY&DEV,1198.70955,2700.0,3898.70955,0.3074631579056716,30.746315790567163,1,1
2809,KEWPIE CORP,398.840229,1100.0,1498.840229,0.2660992287791069,26.609922877910694,1,1
4912,LION CORP,597.1250749999999,2700.0,3297.125075,0.181104768978168,18.1104768978168,1,1
9766,KONAMI GROUP CORP,-300.228687,1600.0,1299.771313,0.1579960817631841,15.799608176318412,1,1
6723,RENESAS ELECTRONIC,-701.649815,5010.083130000014,4308.433315000014,0.1228435961128428,12.284359611284284,1,1
6383,DAIFUKU CO LTD,46.58348899999976,400.0,446.58348899999976,0.1043108179039726,10.431081790397268,1,1
1812,KAJIMA CORP,699.1342549999999,-6100.0,-5400.865745,0.1028269524882326,10.282695248823265,1,1
4568,DAIICHI SANKYO COM,-2839.180378,-24800.0,-27639.180378,0.1027230308269165,10.272303082691652,1,1
7747,ASAHI INTECC CO LT,9.403317000000015,-100.0,-90.59668299999998,0.0859509314511918,8.595093145119186,1,1
6098,RECRUIT HLDGS CO L,-873.981326,9300.0,8426.018674,0.0859035708829646,8.590357088296468,1,1
6504,FUJI ELECTRIC CO.,16.316724999999963,200.0,216.316725,0.0754297893517016,7.542978935170161,1,1
6845,AZBIL CORP,7.8188420000001315,-100.0,-92.18115799999988,0.0725183266205003,7.2518326620500355,1,1
5344,MARUWA CO LTD,7.011197000000003,-100.0,-92.988803,0.0655183494489833,6.551834944898339,1,1
6701,NEC CORP,27.656698000000123,400.0,427.6566980000001,0.0646703258228873,6.46703258228873,1,1
6702,FUJITSU,47.696068999999966,700.0,747.696069,0.0637907178832579,6.379071788325795,1,1
8113,UNICHARM CORP,111.44149199999993,1700.0,1811.441492,0.0615208895745002,6.1520889574500215,1,1
7012,KAWASAKI HEAVY IND,84.3261299999997,1700.0,1784.3261299999997,0.0472593706846627,4.725937068466274,1,1
7988,NIFCO INC,9.893362000000025,200.0,209.893362,0.0471351828649065,4.713518286490653,1,1
8088,IWATANI CORP,8.325220999999829,200.0,208.32522099999983,0.0399626169123316,3.996261691233168,1,1
3099,ISETAN MITSUKOSHI,143.13139899999987,-4400.0,-4256.868601,0.0315050097453718,3.1505009745371857,1,1
6981,MURATA MFG CO,337.4912580000004,10800.0,11137.491258,0.030302269171936,3.0302269171936023,1,1
7956,PIGEON CORP,38.51365499999997,1300.0,1338.513655,0.0287734494572638,2.877344945726383,1,1
6183,BELLSYSTEM24 HOLDI,-8.445157000000108,300.0,291.5548429999999,0.0273797685207296,2.737976852072962,1,1
8316,SUMITOMO MITSUI FG,86.01231499999994,-3100.0,-3013.987685,0.0269968557858508,2.6996855785850893,1,1
5334,NITERRA CO LTD,-2.6059039999999527,-100.0,-102.60590399999997,0.0253972130102762,2.539721301027623,1,1
6361,EBARA CORP,44.20047,1700.0,1744.20047,0.0253413932401933,2.534139324019331,1,1
