STOCK_CODE,STOCK_NAME,ETF_A_SHARES,ETF_B_SHARES,COMMON_HOLDING
2209,IMURAYA GROUP CO,322700.0,8100.0,True
2211,FUJIYA CO LTD,404700.0,10100.0,True
2212,YAMAZAKI BAKING,3950100.0,98900.0,True
2217,MOROZOFF LIMITED,553200.0,13900.0,True
2220,KAMEDA SEIKA CO,1125600.0,28200.0,True
2222,KOTOBUKI SPIRITS,3140200.0,78600.0,True
2229,CALBEE INC,2701800.0,67700.0,True
2264,MORINAGA MILK IND,8499600.0,212800.0,True
2266,ROKKO BUTTER CO,480800.0,12000.0,True
2267,YAKULT HONSHA CO,7464800.0,186900.0,True
2269,MEIJI HOLDINGS CO,8223200.0,205900.0,True
2270,MEGMILK SNOW BRAND,1430900.0,35800.0,True
2281,PRIMA MEAT PACKERS,792800.0,19900.0,True
2282,NH FOODS LTD,2112500.0,52900.0,True
2288,MARUDAI FOOD CO,594100.0,14900.0,True
2292,S FOODS INC,651000.0,16300.0,True
2294,KAKIYASU HONTEN,230200.0,5800.0,True
2296,ITOHAM YONEKYU HLD,1030600.0,25800.0,True
2301,GAKUJO CO LTD,279200.0,7000.0,True
2305,STUDIO ALICE,308200.0,7700.0,True
2307,CROSS CAT CO LTD,343100.0,8600.0,True
2317,SYSTENA CORP,8591500.0,215100.0,True
2325,NJS CO. LTD,157700.0,3900.0,True
2326,DIGITAL ARTS INC,316800.0,7900.0,True
2327,NS SOLUTIONS CORP,1640800.0,41100.0,True
2331,ALSOK CO LTD,10292500.0,257700.0,True
2335,CUBE SYSTEM INC,353000.0,8800.0,True
2337,ICHIGO INC,4669100.0,116900.0,True
2353,NIPPON PARKING DEV,7028400.0,176000.0,True
2359,CORE CORPORATION,266200.0,6700.0,True
2371,KAKAKU.COM. INC,3998800.0,97400.0,True
2378,RENAISSANCE INC,479200.0,12000.0,True
2379,DIP CORPORATION,1078500.0,27000.0,True
2384,SBS HOLDINGS INC,534200.0,13400.0,True
2395,SHIN NIPPON BIOMED,653200.0,16400.0,True
2413,M3 INC,12178100.0,305000.0,True
2429,WORLD HOLDINGS CO,282800.0,7100.0,True
2432,DENA CO LTD,2464100.0,61700.0,True
2433,HAKUHODO DY HLDGS,7341200.0,183800.0,True
2440,GURUNAVI INC,1147900.0,28700.0,True
2445,TAKAMIYA CO LTD,835400.0,20900.0,True
2461,FAN COMMUNICATIONS,891900.0,22300.0,True
2462,LIKE CO LTD,321100.0,8000.0,True
2471,S-POOL INC,1771000.0,44300.0,True
2475,WDB HOLDINGS,270000.0,6800.0,True
2477,TEMAIRAZU INC,72600.0,1800.0,True
2489,ADWAYS INC,753300.0,18900.0,True
2491,VALUECOMMERCE CO.L,849900.0,21300.0,True
2492,INFOMART CORPORATI,5396600.0,135100.0,True
2501,SAPPORO BREWERIES,9713900.0,243300.0,True
2502,ASAHI GROUP HLDGS,44321400.0,1109900.0,True
2503,KIRIN HOLDINGS CO,25606900.0,641200.0,True
250A,SHIMADAYA CORPORAT,272800.0,6800.0,True
2531,TAKARA HOLDINGS,4863500.0,121800.0,True
2533,OENON HOLDINGS INC,1764100.0,44200.0,True
256A,TOBISHIMA HOLDINGS,603600.0,15100.0,True
2579,COCA-COLA BOTTLERS,3839000.0,96100.0,True
2585,LIFEDRINK CO INC,1055800.0,26400.0,True
2587,SUNTORY BEVERAGE &,4848400.0,121400.0,True
2590,DYDO GROUP HOLDING,668500.0,16700.0,True
2593,ITO EN LTD,1910000.0,47800.0,True
2594,KEY COFFEE INC,661100.0,16600.0,True
2602,NISSHIN OILLIO GP,2349500.0,58800.0,True
2607,FUJI OIL CO LTD,1177700.0,29500.0,True
2613,J-OIL MILLS INC,676000.0,16900.0,True
262A,INTERMESTIC INC,343700.0,8600.0,True
2659,SAN-A CO LTD,1433700.0,35900.0,True
2664,CAWACHI LIMITED,495900.0,12400.0,True
2670,ABC-MART INC,3330200.0,83400.0,True
2674,HARD OFF CORP,250400.0,6300.0,True
2676,TAKACHIHO KOHEKI,501600.0,12600.0,True
2678,ASKUL CORP,1207400.0,30200.0,True
2681,GEO HOLDINGS CORP,713400.0,17900.0,True
2685,AND ST HD CO LTD,875100.0,21900.0,True
268A,RIGAKU HOLDINGS CO,3554100.0,89000.0,True
2695,KURA SUSHI INC,1670300.0,41800.0,True
2698,CAN DO CO LTD,225500.0,5600.0,True
2726,PAL GROUP HOLDINGS,2489200.0,62300.0,True
2730,EDION CORP,3012800.0,75400.0,True
2733,ARATA CORPORATION,969900.0,24300.0,True
2734,SALA CORPORATION,1332300.0,33400.0,True
2737,TOMEN DEVICES CORP,91600.0,2300.0,True
2742,HALOWS CO LTD,289100.0,7200.0,True
2749,JP-HOLDINGS INC,1575300.0,39400.0,True
2752,FUJIO FOOD GROUP I,1149900.0,28800.0,True
2753,AMIYAKI TEI CO LTD,460500.0,11500.0,True
2760,TOKYO ELECTRON DEV,632200.0,15800.0,True
2767,TSUBURAYA FIELDS H,1173300.0,29400.0,True
2768,SOJITZ CORPORATION,6119300.0,153200.0,True
277A,GLOBE-ING INC,193200.0,4800.0,True
2784,ALFRESA HOLDINGS,6003200.0,150300.0,True
2791,DAIKOKUTENBUSSAN C,227500.0,5700.0,True
2792,HONEYS HOLDINGS CO,562800.0,14100.0,True
2801,KIKKOMAN CORP,19556500.0,489700.0,True
2802,AJINOMOTO CO INC,28490700.0,713500.0,True
2804,BULL DOG SAUCE CO,296200.0,7400.0,True
2809,KEWPIE CORP,3171700.0,79400.0,True
2810,HOUSE FOODS GP INC,2064400.0,51700.0,True
2811,KAGOME CO LTD,3064100.0,76700.0,True
2815,ARIAKE JAPAN CO,661900.0,16600.0,True
2819,EBARA FOODS INDUST,149300.0,3700.0,True
285A,KIOXIA HLDGS CORP,3688100.0,92400.0,True
2871,NICHIREI CORP,5184200.0,129800.0,True
2874,YOKOREI CO LTD,1460200.0,36600.0,True
2875,TOYO SUISAN KAISHA,2733900.0,68500.0,True
2882,EAT&HOLDINGS CO LT,280300.0,7000.0,True
2884,YOSHIMURA FOOD HOL,431900.0,10800.0,True
2897,NISSIN FOODS HLDG,6670300.0,167000.0,True
2908,FUJICCO CO LTD,673600.0,16900.0,True
2910,ROCK FIELD CO LTD,660500.0,16500.0,True
2914,JAPAN TOBACCO INC,35864000.0,898100.0,True
2915,KENKO MAYONNAISE,369300.0,9200.0,True
2918,WARABEYA NICHIYO H,395100.0,9900.0,True
2922,NATORI CO LTD,370600.0,9300.0,True
2929,PHARMA FOODS INTER,717000.0,18000.0,True
2930,KITANOTATSUJIN COR,2529700.0,63300.0,True
2931,EUGLENA CO LTD,4378300.0,109600.0,True
2933,KIBUN FOODS INC,511700.0,12800.0,True
2935,PICKLES HOLDINGS C,345900.0,8700.0,True
2975,STAR MICA HLDGS CO,605600.0,15200.0,True
2980,SRE HLDGS CORP,291600.0,7300.0,True
3001,KATAKURA INDS,710400.0,17800.0,True
3002,GUNZE LTD,849600.0,21300.0,True
3003,HULIC CO LTD,17212600.0,431000.0,True
3023,RASA CORPORATION,331700.0,8300.0,True
3028,ALPEN CO LTD,610300.0,15300.0,True
3031,RACCOON HOLDINGS I,476600.0,11900.0,True
3034,QOL HOLDINGS CO LT,784800.0,19700.0,True
3036,ALCONIX CORPORATIO,977100.0,24500.0,True
3038,KOBE BUSSAN CO LTD,4906200.0,122900.0,True
3040,SOLITON SYSTEMS K.,309700.0,7800.0,True
3046,JINS HOLDINGS INC,483800.0,12100.0,True
3048,BIC CAMERA INC.,3795600.0,95000.0,True
3050,DCM HOLDINGS CO,3283800.0,82200.0,True
3053,PEPPER FOOD SERVIC,2202900.0,55200.0,True
3064,MONOTARO CO.LTD,8897100.0,222800.0,True
3076,AI HOLDINGS CORPOR,1268500.0,31800.0,True
3086,J FRONT RETAILING,7277700.0,182200.0,True
3087,DOUTOR NICHIRES HO,1124600.0,28200.0,True
3088,MATSUKIYOCOCOKARA,10911400.0,273200.0,True
3091,BRONCO BILLY CO LT,743600.0,18600.0,True
3092,ZOZO INC,9997400.0,250400.0,True
3093,TREASURE FACTORY C,436600.0,10900.0,True
3097,MONOGATARI CORPORA,1230200.0,30800.0,True
3099,ISETAN MITSUKOSHI,9883700.0,247500.0,True
3101,TOYOBO CO,2594800.0,65000.0,True
3103,UNITIKA LTD,2071200.0,51900.0,True
3104,FUJIBO HOLDINGS,839800.0,21000.0,True
3105,NISSHINBO HOLDINGS,4935100.0,123600.0,True
3106,KURABO INDUSTRIES,419200.0,10500.0,True
3107,DAIWABO HOLDINGS,2379900.0,59600.0,True
3109,SHIKIBO LTD,402100.0,10100.0,True
3110,NITTO BOSEKI CO,3805000.0,95300.0,True
3116,TOYOTA BOSHOKU CP,2944600.0,73700.0,True
3132,MACNICA HLDGS INC,4415300.0,110600.0,True
3134,HAMEE CORP,292900.0,7300.0,True
3139,LACTO JAPAN CO.LTD,270500.0,6800.0,True
3148,CREATE SD HOLDINGS,898700.0,22500.0,True
3150,GREMS INC,213700.0,5400.0,True
3151,VITAL KSK HOLDINGS,872600.0,21900.0,True
3153,YASHIMA DENKI CO L,476000.0,11900.0,True
3154,MEDIUS HLDG CO LTD,411300.0,10300.0,True
3156,RESTAR CORPORATION,539300.0,13500.0,True
3167,TOKAI HLDGS CORP,3398800.0,85100.0,True
3176,SANYO TRADING CO L,1560500.0,39100.0,True
3179,SYUPPIN CO LTD,670100.0,16800.0,True
3180,BEAUTY GARAGE INC,200100.0,5000.0,True
3182,OISIX INC,910800.0,22800.0,True
3183,WIN-PARTNERS CO LT,461500.0,11600.0,True
3186,NEXTAGE CO LTD,1632100.0,40900.0,True
3191,JOYFUL HONDA CO LT,1858700.0,46500.0,True
3193,ETERNAL HOSP GP,521000.0,13000.0,True
3196,HOTLAND HLDGS CO,649100.0,16300.0,True
3197,SKYLARK HOLDINGS C,8669100.0,217100.0,True
3199,WATAHAN CO LTD,492100.0,12300.0,True
3201,JAPAN WOOL TEXTILE,1665000.0,41700.0,True
3221,YOSSIX HOLDINGS CO,185800.0,4700.0,True
3222,UNITED SUPER MARKE,3124300.0,78200.0,True
3231,NOMURA RL EST INC,16460500.0,412200.0,True
3232,MIE KOTSU GP HLDG,1443100.0,36100.0,True
3245,DEAR LIFE CO.LTD,1157200.0,29000.0,True
3252,JINUSHI CO LTD,531800.0,13300.0,True
3267,PHIL COMPANY LTD,115900.0,2900.0,True
3276,JAPAN PROPERTY MAN,317900.0,7700.0,True
3284,HOOSIERS HLDGS CO,1029800.0,25800.0,True
3288,OPEN HOUSE GROUP C,1832200.0,45900.0,True
3289,TOKYU FUDOSAN HLDG,16135000.0,404000.0,True
3291,IIDA GROUP HOLDING,5027800.0,125900.0,True
3302,TEIKOKU SEN-I CO,556500.0,13900.0,True
3315,NIPPON COKE & ENGI,6099400.0,152700.0,True
3333,ASAHI CO LTD,529400.0,13300.0,True
3349,COSMOS PHARMACEUTI,1076000.0,26900.0,True
3360,SHIP HEALTH CARE H,2326300.0,58300.0,True
3371,SOFTCREATE HLDGS C,494000.0,12400.0,True
3382,SEVEN & I HOLDINGS,62410200.0,1562900.0,True
3387,CREATE RESTAURANTS,10685800.0,267600.0,True
3388,MEIJI ELECTRIC IND,314800.0,7900.0,True
3391,TSURUHA HOLDINGS I,9917100.0,248300.0,True
3395,SAINT MARC HOLDING,565600.0,14200.0,True
3397,TORIDOLL HLDGS COR,1790400.0,44800.0,True
3401,TEIJIN LTD,5324600.0,133300.0,True
3402,TORAY INDS INC,40467500.0,1013400.0,True
3405,KURARAY CO,8126800.0,203500.0,True
3407,ASAHI KASEI CORP,39797300.0,996600.0,True
3415,TOKYO BASE CO LTD,886900.0,22200.0,True
3421,INABA SEISAKUSHO,305200.0,7600.0,True
3431,MIYAJI ENGINEERING,806500.0,20200.0,True
3433,TOCALO CO LTD,1783300.0,44700.0,True
3436,SUMCO CORPORATION,11773700.0,294800.0,True
3443,KAWADA TECHNOLOGIE,1410300.0,35300.0,True
3445,RS TECHNOLOGIES CO,417400.0,10500.0,True
3457,&DO HOLDINGS CO LT,313300.0,7800.0,True
3465,KI-STAR REAL ESTAT,498000.0,12500.0,True
3475,GOOD COM ASSET CO,547700.0,13700.0,True
3482,LOADSTAR CAPITAL K,480700.0,12000.0,True
3496,AZOOM CO LTD,138300.0,3500.0,True
3498,KASUMIGASEKI CAPIT,606600.0,15200.0,True
3539,JM HOLDINGS CO LTD,1028000.0,25700.0,True
3543,KOMEDA HOLDINGS CO,1555800.0,39000.0,True
3547,UNISIA HOLDINGS CO,173600.0,4300.0,True
3548,BAROQUE JAPAN LTD,739900.0,18500.0,True
3549,KUSURI NO AOKI HLD,1500300.0,37600.0,True
3561,CHIKARANOMOTO HOLD,475700.0,11900.0,True
3563,FOOD & LIFE COMPAN,7284700.0,182400.0,True
3565,ASCENTECH K K,784300.0,19600.0,True
3569,SEIREN CO LTD,1303900.0,32700.0,True
3580,KOMATSU MATERE CO,791600.0,19800.0,True
3591,WACOAL HOLDINGS,1176800.0,29500.0,True
3608,TSI HOLDINGS CO LT,1564200.0,39200.0,True
3612,WORLD CO LTD,1982800.0,49700.0,True
3626,TISI INC,6143500.0,153800.0,True
3632,GREE HOLDINGS INC,2014500.0,50400.0,True
3633,GMO PEPABO INC,73500.0,1800.0,True
3635,KOEI TECMO HOLDING,3766800.0,94300.0,True
3636,MITSUBISHI RESEARC,323700.0,8100.0,True
3649,FINDEX INC,417600.0,10500.0,True
3656,KLAB INC,2066000.0,51700.0,True
3657,POLE TO WIN HOLDIN,855300.0,21400.0,True
3659,NEXON CO LTD,12451200.0,311800.0,True
3660,ISTYLE INC,2301200.0,57600.0,True
3661,M UP HOLDINGS INC,1472500.0,36900.0,True
3662,ATEAM HOLDINGS CO,421700.0,10600.0,True
3663,CELSYS INC,779400.0,19500.0,True
3665,ENIGMO INC,669100.0,16800.0,True
3668,COLOPL INC,2045200.0,51200.0,True
3673,BROADLEAF CO LTD,3949800.0,98900.0,True
3676,DIGITAL HEARTS HOL,374900.0,9100.0,True
3678,MEDIA DO CO LTD,204500.0,5100.0,True
3679,ZIGEXN CO LTD,1726000.0,43200.0,True
3687,FIXSTARS CORP,829300.0,20800.0,True
368A,KITAZATO CORPORATI,627700.0,15700.0,True
3694,OPTIM CORPORATION,612000.0,15300.0,True
3696,CERES INC.,273300.0,6800.0,True
3697,SHIFT INC,5996000.0,150200.0,True
3708,TOKUSHU TOKAI PAPE,1049200.0,26300.0,True
3741,SYSTEMS ENG CONSUL,183600.0,4600.0,True
3762,TECHMATRIX CORP,1197500.0,30000.0,True
3763,PRO-SHIP INC,483300.0,12100.0,True
3765,GUNGHO ONLINE ENTE,1191600.0,29800.0,True
3769,GMO PAYMENT GATEWA,1372800.0,34400.0,True
3771,SYSTEM RESEARCH CO,449700.0,11300.0,True
3774,INTERNET INITIATIV,3290100.0,82400.0,True
3778,SAKURA INTERNET,845100.0,21200.0,True
3788,GMO GLOBALSIGN HOL,183500.0,4600.0,True
3817,SRA HOLDINGS INC,341600.0,8600.0,True
3834,ASAHI NET INC,645600.0,16200.0,True
3835,EBASE CO LTD,740100.0,18500.0,True
3836,AVANT GROUP CORP,636800.0,15900.0,True
3837,AD-SOL NISSIN CORP,465100.0,11600.0,True
3843,FREEBIT CO.LTD,314900.0,7900.0,True
3844,COMTURE CORPORATIO,795000.0,19900.0,True
3853,ASTERIA CORPORATIO,470500.0,11800.0,True
3854,I'LL INC,392900.0,9800.0,True
3861,OJI HLDGS CORP,20495800.0,513300.0,True
3863,NIPPON PAPER INDUS,3387600.0,84800.0,True
3865,HOKUETSU CORPORATI,2923900.0,73200.0,True
3880,DAIO PAPER CORP,3030800.0,75900.0,True
3901,MARKLINES CO LTD,355800.0,8900.0,True
3903,GUMI INC,1087400.0,27200.0,True
3915,TERRASKY CO LTD,202700.0,5100.0,True
3916,DIGITAL INFORMATIO,625500.0,15700.0,True
3921,NEO JAPAN INC,157900.0,4000.0,True
3922,PR TIMES CORP,121600.0,3000.0,True
3923,RAKUS CO LTD,5560600.0,139200.0,True
3925,DOUBLE STANDARD IN,213100.0,5300.0,True
3926,OPEN DOOR INC,350300.0,8800.0,True
3932,AKATSUKI INC,293000.0,7300.0,True
3937,UBICOM HOLDINGS I,192200.0,4800.0,True
3939,KANAMIC NETWORK CO,755200.0,18900.0,True
3941,RENGO CO,6075700.0,152100.0,True
3946,TOMOKU CO LTD,346800.0,8700.0,True
3950,PACK CORP (THE),1338200.0,33500.0,True
