STOCK_CODE,STOCK_NAME,ETF_A_SHARES,ETF_B_SHARES,COMMON_HOLDING
4344,SOURCENEXT CORP,3430100.0,85900.0,True
4345,CTS CO LTD,753200.0,18900.0,True
4350,MEDICAL SYSTEM NET,618300.0,15500.0,True
4362,NIPPON FINE CHEM,373800.0,9400.0,True
4368,FUSO CHEMICAL CO,1910300.0,47800.0,True
4369,TRI CHEMICAL LABOR,728500.0,18200.0,True
4373,SIMPLEX HLDGS INC,4788400.0,119900.0,True
4382,HEROZ INC,238600.0,6000.0,True
4385,MERCARI INC,2588400.0,64800.0,True
4390,IPS INC,176200.0,4400.0,True
4396,SYSTEM SUPPORT HLD,512900.0,12800.0,True
4401,ADEKA CORPORATION,2218000.0,55500.0,True
4403,NOF CORP,6892200.0,172600.0,True
4410,HARIMA CHEMS GROUP,467700.0,11700.0,True
4413,BAUDROIE INC,432600.0,10500.0,True
441A,NE INC,587100.0,14700.0,True
4420,ESOL CO LTD,448300.0,11200.0,True
4432,WINGARC1ST INC,628600.0,15700.0,True
4433,HITO-COMMUNIC.HLDG,200800.0,5000.0,True
4434,SERVERWORKS CO LTD,124700.0,3100.0,True
4443,SANSAN INC,1990100.0,49800.0,True
4452,KAO CORP,28468800.0,712900.0,True
4461,DKS CO. LTD.,239500.0,6000.0,True
4462,ISHIHARA CHEMICAL,255000.0,6400.0,True
4471,SANYO CHEMICAL IND,369300.0,9200.0,True
4480,MEDLEY INC,733900.0,18400.0,True
4481,BASE CO LTD,253300.0,6300.0,True
4483,JMDC INC,880200.0,22000.0,True
4502,TAKEDA PHARMACEUTI,53507700.0,1339900.0,True
4503,ASTELLAS PHARMA,52732600.0,1320500.0,True
4506,SUMITOMO PHARMA CO,6041300.0,151300.0,True
4507,SHIONOGI & CO,21935200.0,549300.0,True
4516,NIPPON SHINYAKU CO,1574700.0,39400.0,True
4519,CHUGAI PHARM CO,18818000.0,471200.0,True
4521,KAKEN PHARM,890500.0,22300.0,True
4523,EISAI CO LTD,7844800.0,196400.0,True
4526,RIKEN VITAMIN CO,516200.0,12900.0,True
4527,ROHTO PHARM,6352700.0,159100.0,True
4528,ONO PHARMACEUTICAL,13413800.0,335900.0,True
4534,MOCHIDA PHARM CO,734200.0,18400.0,True
4536,SANTEN PHARM CO,10113800.0,253300.0,True
4538,FUSO PHARM,233000.0,5800.0,True
4540,TSUMURA & CO,2064600.0,51700.0,True
4543,TERUMO CORP,39824000.0,997300.0,True
4544,H.U. GROUP HLDGS I,1933100.0,48400.0,True
4547,KISSEI PHARM CO,938900.0,23500.0,True
4548,SEIKAGAKU CORP,1018800.0,25500.0,True
4549,EIKEN CHEMICAL CO,851700.0,21300.0,True
4552,JCR PHARMACEUTICAL,2616200.0,65500.0,True
4553,TOWA PHARM CO LTD,808300.0,20200.0,True
4554,FUJI PHARMA CO LTD,475900.0,11900.0,True
4559,ZERIA PHARMACEUTIC,786400.0,19700.0,True
4565,NXERA PHARMA CO LT,2906300.0,72800.0,True
4568,DAIICHI SANKYO COM,54283700.0,1359400.0,True
4569,KYORIN PHARMACEUTI,1209300.0,30300.0,True
4574,TAIKO PHARMACEUTIC,1362000.0,34100.0,True
4577,DAITO PHARM,711500.0,17800.0,True
4578,OTSUKA HLDGS CO,14605300.0,365700.0,True
4587,PEPTIDREAM INC,3205600.0,80300.0,True
4611,DAI NIPPON TORYO,666000.0,16700.0,True
4612,NIPPON PAINT HLDGS,31881000.0,798400.0,True
4613,KANSAI PAINT CO,4787200.0,119900.0,True
4617,CHUGOKU MAR PAINTS,1232800.0,30900.0,True
4620,FUJIKURA KASEI CO,691500.0,17300.0,True
4626,TAIYO HLDG CO LTD,2880900.0,69800.0,True
4631,DIC CORPORATION,2346200.0,58800.0,True
4633,SAKATA INX CORP,1344900.0,33700.0,True
4634,ARTIENCE CO LTD,1014500.0,25400.0,True
4641,ALTECH CORPORATION,1674100.0,41900.0,True
4651,SANIX HOLDINGS INC,767600.0,19200.0,True
4658,NIPPON AIR CONDITI,661700.0,16600.0,True
4661,ORIENTAL LAND CO,36321400.0,909500.0,True
4662,FOCUS SYSTEMS CORP,401800.0,10100.0,True
4665,DUSKIN CO.LTD,1398700.0,35000.0,True
4666,PARK 24 CO LTD,4217400.0,105600.0,True
4668,MEIKO NETWORK JPN,751900.0,18800.0,True
4671,FALCO HOLDINGS CO,239400.0,6000.0,True
4674,CRESCO LTD,1035600.0,25900.0,True
4676,FUJI MEDIA HOLDING,4724200.0,118300.0,True
4680,ROUND ONE CORP,5833400.0,146100.0,True
4681,RESORTTRUST INC,5838000.0,146200.0,True
4684,OBIC CO LTD,11028200.0,276200.0,True
4686,JUSTSYSTEMS CORP,863800.0,21600.0,True
4687,TDC SOFT INC,1110200.0,27800.0,True
4689,LY CORPORATION,92611900.0,2319200.0,True
4694,BML INC,822100.0,20600.0,True
4704,TREND MICRO INC,3158300.0,79100.0,True
4709,ID HOLDINGS CORPOR,772400.0,19300.0,True
4714,RISO KYOIKU GP COR,1925500.0,48200.0,True
4716,ORACLE CORP JAPAN,1150500.0,28800.0,True
4718,WASEDA ACADEMY,298400.0,7500.0,True
4719,ALPHA SYSTEMS INC,189000.0,4700.0,True
471A,NS GP INC,1052300.0,26300.0,True
4722,FUTURE CORPORATION,1495700.0,31200.0,True
4725,CAC HOLDINGS CORP,414500.0,10400.0,True
4732,USS CO LTD,11687200.0,292700.0,True
4733,OBIC BUSINESS CONS,1014100.0,25400.0,True
4743,ITFOR INC,625700.0,15700.0,True
4746,TOUKEI COMPUTER,209600.0,5200.0,True
4751,CYBER AGENT,13640100.0,341600.0,True
4755,RAKUTEN GROUP INC,48909300.0,1224800.0,True
4763,CREEK & RIVER,361000.0,9000.0,True
4765,SBI GLOBAL ASSET M,1153800.0,28900.0,True
4767,TOW CO LTD,1207400.0,30200.0,True
4768,OTSUKA CORP,6814200.0,170600.0,True
4776,CYBOZU INC,827800.0,20700.0,True
4784,GMO INTERNET INC,2731900.0,68400.0,True
4792,YAMADA CONSULTING,267800.0,6700.0,True
4801,CENTRAL SPORTS,257200.0,6400.0,True
4809,PARACA INC,210600.0,5300.0,True
4812,DENTSU SOKEN INC,2629900.0,65700.0,True
4819,DIGITAL GARAGE,858800.0,21500.0,True
4820,EM SYSTEMS CO LTD,948400.0,23700.0,True
4825,WEATHERNEWS INC,849500.0,21300.0,True
4826,COMPUTER INSTITUTE,1452500.0,36400.0,True
4828,BUSINESS ENGINEERI,706100.0,17700.0,True
4839,WOWOW INC,452600.0,11300.0,True
4845,SCALA INC,557600.0,14000.0,True
4848,FULLCAST HOLDINGS,552500.0,13800.0,True
4849,EN INC,1003100.0,25100.0,True
4880,CELLSOURCE CO LTD,356000.0,8900.0,True
4886,ASKA PHARMACEUTICA,580300.0,14500.0,True
4887,SAWAI GROUP HOLDIN,3110700.0,77900.0,True
4901,FUJIFILM HOLDINGS,35962500.0,900600.0,True
4902,KONICA MINOLTA INC,13520600.0,338600.0,True
4911,SHISEIDO CO LTD,13449000.0,336800.0,True
4912,LION CORP,7525600.0,188500.0,True
4914,TAKASAGO INTL CORP,2258600.0,56600.0,True
4919,MILBON CO LTD,941400.0,23600.0,True
4922,KOSE HLDGS CORP,1222400.0,30600.0,True
4923,COTA CO LTD,653100.0,16400.0,True
4927,POLA ORBIS HLDG IN,3595300.0,90000.0,True
4928,NOEVIR HLDGS CO,535900.0,13400.0,True
4931,SHINNIHONSEIYAKU C,342900.0,8600.0,True
4933,I-NE CO LTD,319000.0,3900.0,True
4936,AXXZIA INC,324200.0,8100.0,True
4951,S.T.CORPORATION,567100.0,14200.0,True
4956,KONISHI CO LTD,1894000.0,47400.0,True
4958,T.HASEGAWA CO,1148800.0,28800.0,True
4967,KOBAYASHI PHARMACE,1749500.0,43800.0,True
4968,ARAKAWA CHEMICAL,509200.0,12800.0,True
4971,MEC COMPANY LTD,482600.0,12100.0,True
4973,JAPAN PURE CHEM,149600.0,3700.0,True
4975,JCU CORP,646500.0,16200.0,True
4979,OAT AGRIO CO LTD,223400.0,5600.0,True
4980,DEXERIALS CORP,5091900.0,127500.0,True
4985,EARTH CORPORATION,547600.0,13700.0,True
4992,HOKKO CHEMICAL IND,492900.0,12300.0,True
4994,TAISEI LAMICK GP,173800.0,4400.0,True
4996,KUMIAI CHEM IND CO,2686800.0,67300.0,True
4997,NIHON NOHYAKU CO,918600.0,23000.0,True
5011,NICHIREKI GROUP CO,639300.0,16000.0,True
5013,YUSHIRO INC,311600.0,7800.0,True
5016,JX ADVANCED METALS,23578000.0,590400.0,True
5019,IDEMITSU KOSAN CO,24676600.0,617900.0,True
5020,ENEOS HOLDINGS INC,84940900.0,2127100.0,True
5021,COSMO ENERGY HLDGS,3329500.0,83400.0,True
5032,ANYCOLOR INC,958500.0,24000.0,True
5036,JAPAN BUSINESS SYS,650500.0,16300.0,True
5074,TESS HOLDINGS CO L,1583800.0,39700.0,True
5076,INFRONEER HLDGS IN,6160600.0,154300.0,True
5101,YOKOHAMA RUBBER CO,2983800.0,74700.0,True
5105,TOYO TIRE CORPORAT,4145300.0,103800.0,True
5108,BRIDGESTONE CORP,32892600.0,823700.0,True
5110,SUMITOMO RUBBER,5306500.0,132900.0,True
5121,FUJIKURA COMPOSITE,495000.0,12400.0,True
5122,OKAMOTO INDUSTRIES,317400.0,7900.0,True
5142,ACHILLES CORP,326400.0,8200.0,True
5185,FUKOKU CO LTD,285400.0,7100.0,True
5186,NITTA CORP,590500.0,14800.0,True
5192,MITSUBOSHI BELTING,766900.0,19200.0,True
5195,BANDO CHEMICAL IND,892000.0,22300.0,True
5201,AGC INC,6335900.0,158700.0,True
5208,ARISAWA MFG CO LTD,1054600.0,26400.0,True
5214,NIPPON ELEC GLASS,2006700.0,50300.0,True
5218,OHARA INC,285400.0,7100.0,True
5232,SUMITOMO OSAKA CEM,1006400.0,25200.0,True
5233,TAIHEIYO CEMENT,3709000.0,92900.0,True
5262,NIPPON HUME CORP,1052600.0,26400.0,True
5269,NIPPON CONCRETE,1165600.0,29200.0,True
5273,MITANI SEKISAN CO,987900.0,24700.0,True
5288,ASIA PILE HLDG CO,939200.0,23500.0,True
5301,TOKAI CARBON CO,6050500.0,151500.0,True
5302,NIPPON CARBON CO,344800.0,8600.0,True
5310,TOYO TANSO CO LTD,517600.0,13000.0,True
5331,NORITAKE CO LTD,1259900.0,31500.0,True
5332,TOTO LTD,3728900.0,93400.0,True
5333,NGK CORP,6410500.0,160500.0,True
5334,NITERRA CO LTD,4912700.0,123000.0,True
5344,MARUWA CO LTD,249600.0,6300.0,True
5351,SHINAGAWA REFRA CO,739800.0,18500.0,True
5357,YOTAI REFRACTORIES,351400.0,8800.0,True
5384,FUJIMI INC,1795400.0,45000.0,True
5393,NICHIAS CORP,4709000.0,117900.0,True
5401,NIPPON STEEL CORP,168629800.0,4222800.0,True
5406,KOBE STEEL,12437700.0,311500.0,True
5408,NAKAYAMA STEEL WKS,1272500.0,31900.0,True
5410,GODO STEEL LTD,345900.0,8700.0,True
5411,JFE HOLDINGS INC,20066200.0,502500.0,True
5423,TOKYO STEEL MFG,1727000.0,43200.0,True
543A,ARCHION CORP,9013700.0,225700.0,True
5440,KYOEI STEEL LTD,704500.0,17600.0,True
5444,YAMATO KOGYO CO,1111800.0,27800.0,True
5445,TOKYO TEKKO CO LTD,681500.0,17100.0,True
5449,OSAKA STEEL CO LTD,284500.0,7100.0,True
544A,GMS GROUP CO LTD,798800.0,20000.0,True
5451,YODOKO LTD,3502800.0,87700.0,True
545A,TORANVIA CO LTD,355300.0,8900.0,True
5461,CHUBU STEEL PLATE,564900.0,14100.0,True
5463,MARUICHI STL TUBE,6213400.0,155600.0,True
5464,MORY INDUSTRIES,696300.0,17400.0,True
546A,MIRAINI HLDGS CO,954400.0,23900.0,True
5471,DAIDO STEEL CO,4382600.0,109700.0,True
547A,MUNINOVA HLDGS INC,9776500.0,244800.0,True
5480,NIPPON YAKIN KOGYO,416900.0,10400.0,True
5482,AICHI STEEL CORP,1157000.0,29000.0,True
5541,PACIFIC METALS CO,526600.0,13200.0,True
5563,NIPPON DENKO CO,3079500.0,77100.0,True
5602,KURIMOTO LTD,1434400.0,35900.0,True
5631,JAPAN STEEL WORKS,1834800.0,45900.0,True
5632,MITSUBISHI STEEL,422600.0,10600.0,True
5659,NIPPON SEISEN CO,490600.0,12300.0,True
5698,ENVIPRO HOLDINGS I,543700.0,13600.0,True
5702,DAIKI ALUMINIUM,880200.0,22000.0,True
5703,NIPPON LIGHT METAL,1806500.0,45200.0,True
5706,MITSUI KINZOKU CO,1544200.0,38700.0,True
5707,TOHO ZINC CO LTD,560400.0,14000.0,True
5711,MITSUBISHI MATERLS,4126300.0,103300.0,True
5713,SUMITOMO METAL MNG,8474200.0,212200.0,True
5714,DOWA HOLDINGS,1667400.0,41800.0,True
5715,FURUKAWA CO,656600.0,16400.0,True
5726,OSAKA TITANIUM TEC,1276300.0,32000.0,True
5741,UACJ CORP,3738400.0,93600.0,True
5757,CK SAN-ETSU CO LTD,149100.0,3700.0,True
575A,MAEZAWA HLDGS CO,430600.0,10800.0,True
5801,FURUKAWA ELECTRIC,20592000.0,515700.0,True
5802,SUMITOMO ELECTRIC,85421600.0,2139100.0,True
5803,FUJIKURA,47748700.0,1195700.0,True
5805,SWCC CORPORATION,898300.0,22500.0,True
5821,HIRAKAWA HEWTECH C,373400.0,9400.0,True
5830,IYOGIN HOLDINGS IN,7727600.0,193500.0,True
5831,SHIZUOKA FINANCIAL,13003600.0,325600.0,True
5832,CHUGIN FINANCIAL G,4970000.0,124500.0,True
5838,RAKUTEN BANK LTD,3129400.0,78400.0,True
5844,KYOTO FINANCIAL GR,8106000.0,203000.0,True
5851,RYOBI LTD,784300.0,19600.0,True
5857,ARE HOLDINGS INC,2725500.0,68300.0,True
5889,JAPAN EYEWEAR HOLD,271900.0,6800.0,True
5901,TOYO SEIKAN GROUP,3089800.0,77400.0,True
5902,HOKKAN HOLDINGS,332100.0,8300.0,True
5909,CORONA CORP,345300.0,8600.0,True
590A,GIFTEE GROUP INC,602300.0,15100.0,True
5911,YOKOGAWA B HOLDING,1064400.0,26700.0,True
5929,SANWA HOLDINGS,5890700.0,147500.0,True
5930,BUNKA SHUTTER CO,1941900.0,48600.0,True
5932,SANKYO TATEYAMA IN,778000.0,19500.0,True
5933,ALINCO INC,471600.0,11800.0,True
5938,LIXIL CORPORATION,9666800.0,242100.0,True
5943,NORITZ CORP,1088400.0,27300.0,True
5946,CHOFU SEISAKUSHO,614100.0,15400.0,True
5947,RINNAI CORP,3163400.0,79200.0,True
5949,UNIPRES CORP,1109700.0,27800.0,True
5957,NITTOSEIKO CO LTD,1075600.0,26900.0,True
5959,OKABE CO LTD,1166000.0,29200.0,True
5970,G-TEKT CORPORATION,787800.0,19700.0,True
5975,TOPRE CORPORATION,1089900.0,27300.0,True
5976,NETUREN CO LTD,882500.0,22100.0,True
5981,TOKYO ROPE MFG CO,364700.0,9100.0,True
5985,SUNCALL CORP,610800.0,15300.0,True
5988,PIOLAX INC,664500.0,16600.0,True
5989,H-ONE CO.LTD,636500.0,15900.0,True
5991,NHK SPRING CO LTD,4661400.0,116700.0,True
5992,CHUO SPRING CO,400800.0,10000.0,True
6005,MIURA CO LTD,2808400.0,70300.0,True
6013,TAKUMA CO LTD,1696600.0,42500.0,True
6027,BENGO4.COM INC,307500.0,7700.0,True
6035,IR JAPAN HOLDINGS,319900.0,8000.0,True
6036,KEEPER TECHNICAL L,380300.0,9500.0,True
6047,GUNOSY INC,489000.0,12200.0,True
6050,E-GUARDIAN INC,187200.0,4700.0,True
6055,JAPAN MATERIAL CO,1885500.0,47200.0,True
6058,VECTOR INC.,841300.0,21100.0,True
6062,CHARM CARE CORP,513300.0,12900.0,True
6070,CAREERLINK CO LTD,226100.0,5700.0,True
6071,IBJ INC,564900.0,14100.0,True
6073,ASANTE INCORP,304500.0,7600.0,True
6078,VALUE HR CO LTD,553100.0,13900.0,True
6080,M&A CAPITAL PARTNE,498700.0,12500.0,True
6082,RIDE ON EXPRESS HO,245400.0,6100.0,True
6088,SIGMAXYZ HOLDINGS,1734900.0,43400.0,True
6089,WILL GROUP INC,570000.0,14300.0,True
6098,RECRUIT HLDGS CO L,42908000.0,1074500.0,True
6099,ELAN CORPORATION,679200.0,17000.0,True
6101,TSUGAMI CORP,1291100.0,32300.0,True
6103,OKUMA CORPORATION,1059400.0,26500.0,True
6104,SHIBAURA MACHINE C,723300.0,18100.0,True
6113,AMADA CO LTD,8538800.0,213800.0,True
6118,AIDA ENGINEERING,1070000.0,26800.0,True
6134,FUJI CORPORATION,2412000.0,60400.0,True
6135,MAKINO MILLING,613900.0,15400.0,True
6136,OSG CORP,2155100.0,54000.0,True
6140,ASAHI DIAMOND INDL,1411400.0,35300.0,True
6141,DMG MORI CO LTD,4584400.0,114800.0,True
6143,SODICK CO LTD,1473800.0,36900.0,True
6146,DISCO CORPORATION,2918600.0,73100.0,True
6151,NITTO KOHKI CO LTD,214700.0,5400.0,True
6157,NS TOOL CO LTD,505000.0,12600.0,True
6167,FUJI DIE CO LTD,448300.0,11200.0,True
6178,JAPAN POST HOLD CO,50685700.0,1269300.0,True
6183,BELLSYSTEM24 HOLDI,835200.0,20900.0,True
6184,KAMAKURA SHINSHO L,613000.0,15300.0,True
6191,AIRTRIP CORP,561500.0,14100.0,True
6194,ATRAE INC,500200.0,12500.0,True
6196,STRIKE GP CO LTD,1033000.0,25900.0,True
6199,SERAKU CO LTD,184400.0,4600.0,True
6200,INSOURCE CO LTD,1528600.0,38300.0,True
6209,NPR-RIKEN CORP,696500.0,17400.0,True
6222,SHIMA SEIKI MFG,936000.0,23400.0,True
6235,OPTORUN CO LTD,994300.0,24900.0,True
6237,IWAKI CO LTD,403400.0,10100.0,True
6238,FURYU CORPORATION,634300.0,15900.0,True
6240,YAMASHIN-FILTER CO,1254100.0,31400.0,True
6247,HISAKA WORKS LTD,708400.0,17700.0,True
6250,YAMABIKO CORPO,988700.0,24800.0,True
6254,NOMURA MICRO SCIEN,1092300.0,27400.0,True
6258,HIRATA CORPORATION,868000.0,21700.0,True
6262,PEGASUS CO LTD,667800.0,16700.0,True
6264,MARUMAE CO.LTD,630000.0,15800.0,True
6266,TAZMO CO LTD,399200.0,10000.0,True
6268,NABTESCO CORP,3440300.0,86200.0,True
6269,MODEC INC(JAPAN),1532000.0,38400.0,True
6272,RHEON AUTO MACHNRY,700000.0,17500.0,True
6273,SMC CORP,1718000.0,43000.0,True
6277,HOSOKAWA MICRON CO,458400.0,11500.0,True
6278,UNION TOOL CO,310400.0,7800.0,True
6279,ZUIKO CORPORATION,516400.0,12900.0,True
6282,OILES CORPORATION,746500.0,18700.0,True
6284,NISSEI ASB MACHINE,235200.0,5900.0,True
6287,SATO CORP(JP),829300.0,20800.0,True
6289,GIKEN LTD,523800.0,13100.0,True
6291,AIRTECH JAPAN,283600.0,7100.0,True
6298,Y.A.C HOLDINGS CO,525000.0,13100.0,True
6301,KOMATSU,29195000.0,731100.0,True
6302,SUMITOMO HEAVY IND,3305900.0,82800.0,True
6305,HITACHI CONST MACH,2410900.0,60400.0,True
6306,NIKKO CO LTD,1165600.0,29200.0,True
6309,TOMOE ENGINEERING,805600.0,20200.0,True
6310,ISEKI & CO,566700.0,14200.0,True
6315,TOWA CORP,2190000.0,54800.0,True
6317,KITAGAWA CORPORATI,238000.0,6000.0,True
6323,RORZE CORP,3558600.0,89100.0,True
6324,HARMONIC DRIVE SYS,1619200.0,40500.0,True
6326,KUBOTA CORP,30629200.0,767000.0,True
6328,EBARA JITSUGYO CO,637700.0,16000.0,True
6330,TOYO ENG CORP,1318600.0,33000.0,True
6331,MITSUBISHI KAKOKI,638700.0,16000.0,True
6332,TSUKISHIMA HOLDING,809500.0,20300.0,True
6333,TEIKOKU CORP,389100.0,9700.0,True
6339,SINTOKOGIO LTD,1223400.0,30600.0,True
6340,SHIBUYA CORPORATIO,567900.0,14200.0,True
6345,AICHI CORPORATION,868400.0,21700.0,True
6349,KOMORI CORP,1438500.0,36000.0,True
6351,TSURUMI MANUFA,854500.0,21400.0,True
6358,SAKAI HEAVY INDS,239100.0,6000.0,True
6361,EBARA CORP,14355000.0,359500.0,True
6363,TORISHIMA PUMP MFG,447900.0,11200.0,True
6364,AIRMAN CORP,608600.0,15200.0,True
6367,DAIKIN INDUSTRIES,7884200.0,197400.0,True
6368,ORGANO CORP,831300.0,20800.0,True
6369,TOYO KANETSU KK,503500.0,12600.0,True
6370,KURITA WATER INDS,3646500.0,91300.0,True
6371,TSUBAKIMOTO CHAIN,2618800.0,65600.0,True
6376,NIKKISO CO LTD,1395500.0,34900.0,True
6378,KIMURA CHEM PLANTS,461700.0,11600.0,True
6379,RAIZNEXT CORP,849900.0,21300.0,True
6381,ANEST IWATA CORP,1122900.0,28100.0,True
6383,DAIFUKU CO LTD,10216700.0,255800.0,True
6387,SAMCO INC,162300.0,4100.0,True
6395,TADANO LTD,3483300.0,87200.0,True
6407,CKD CORP,1826600.0,45700.0,True
6412,HEIWA CORP,1789800.0,44800.0,True
6413,RISO KAGAKU CORP,968300.0,24200.0,True
6417,SANKYO CO LTD,5671000.0,142000.0,True
6418,JAPAN CASH MACHINE,731700.0,18300.0,True
6419,MARS GP HLDGS CO,509300.0,12800.0,True
6420,GALILEI HOLDINGS C,890400.0,22300.0,True
6430,DAIKOKU DENKI CO,299100.0,7500.0,True
6432,TAKEUCHI MFG CO,1098400.0,27500.0,True
6436,AMANO CORPORATION,1593800.0,39900.0,True
6440,JUKI CORP,937500.0,23500.0,True
6445,JANOME CORPORATION,418700.0,10500.0,True
6448,BROTHER INDUSTRIES,7297900.0,182800.0,True
6454,MAX CO LTD,3338000.0,83600.0,True
6455,MORITA HOLDINGS,916200.0,22900.0,True
6457,GLORY LTD,1476700.0,37000.0,True
6458,SINKO INDUSTRIES,1626000.0,40700.0,True
6459,DAIWA LTD,1043500.0,26100.0,True
6460,SEGA SAMMY HLDGS I,4786600.0,119900.0,True
6463,TPR CO LTD,1342400.0,33600.0,True
6464,TSUBAKI NAKASHIMA,1305400.0,32700.0,True
6465,HOSHIZAKI CORPORAT,3572500.0,89500.0,True
6470,TAIHO KOGYO,457700.0,11500.0,True
6471,NSK LTD,11207500.0,280700.0,True
6472,NTN CORP,16072400.0,402500.0,True
6473,JTEKT CORPORATION,5713300.0,143100.0,True
6474,NACHI-FUJIKOSHI CO,502700.0,12600.0,True
6479,MINEBEA MITSUMI,10530300.0,263700.0,True
6480,NIPPON THOMPSON CO,1647500.0,41300.0,True
6481,THK CO LTD,2936600.0,73500.0,True
6482,YUSHIN CO,479300.0,12000.0,True
6485,MAEZAWA KYUSO INDS,433800.0,10900.0,True
6486,EAGLE INDUSTRY CO,669200.0,16800.0,True
6490,PILLAR CORPORATION,561300.0,14100.0,True
6498,KITZ CORPORATION,2159100.0,54100.0,True
6501,HITACHI,152496700.0,3818800.0,True
6503,MITSUBISHI ELEC CP,66314300.0,1660600.0,True
6504,FUJI ELECTRIC CO.,4350400.0,108900.0,True
6506,YASKAWA ELEC CORP,6575600.0,164700.0,True
6507,SINFONIA TECHNOLOG,667700.0,16700.0,True
6508,MEIDENSHA CORP,1122500.0,28100.0,True
6516,SANYO DENKI CO,697900.0,17500.0,True
6517,DENYO CO LTD,441000.0,11000.0,True
6523,PHC HLDGS CORP,1136400.0,28500.0,True
6525,KOKUSAI ELECTRIC C,6938600.0,173800.0,True
6526,SOCIONEXT INC,5245400.0,131400.0,True
6532,BAYCURRENT INC,4528600.0,113400.0,True
6533,ORCHESTRA HOLDINGS,134900.0,3400.0,True
6535,I MOBILE CO LTD,912400.0,22800.0,True
6539,MATCHING SERVICE J,392200.0,9800.0,True
6544,JAPAN ELEVATOR SER,5209700.0,130500.0,True
6560,LTS INC,74200.0,1900.0,True
6564,MIDAC HOLDINGS CO,311300.0,7800.0,True
6571,QB NET HOLDINGS CO,303500.0,7600.0,True
6572,OPEN GROUP INC,850900.0,21300.0,True
6584,SANOH INDUSTRIAL,915100.0,22900.0,True
6586,MAKITA CORP,7531900.0,188600.0,True
6588,TOSHIBA TEC CORP,775100.0,19400.0,True
6590,SHIBAURA MECHATRON,1879100.0,47100.0,True
6592,MABUCHI MOTOR CO,5842500.0,146300.0,True
6615,UMC ELECTRONICS(JP,380300.0,9500.0,True
6616,TOREX SEMICONDUCTO,233100.0,5800.0,True
6617,TAKAOKA TOKO CO LT,328300.0,8200.0,True
6619,W-SCOPE CO,2174300.0,54400.0,True
6620,MIYAKOSHI HLDG,269300.0,6700.0,True
6622,DAIHEN CORP,558200.0,14000.0,True
6630,YA-MAN LTD,1177100.0,29500.0,True
6632,JVCKENWOOD CORPORA,4707900.0,117900.0,True
6638,MIMAKI ENGINEERING,502700.0,12600.0,True
6644,OSAKI ELECTRIC CO,1156800.0,29000.0,True
6645,OMRON CORP,5085300.0,127300.0,True
6651,NITTO KOGYO CORP,725600.0,18200.0,True
6652,IDEC CORPORATION,773600.0,19400.0,True
6674,GS YUASA CORP,2476700.0,62000.0,True
6676,BUFFALO INC,322800.0,8100.0,True
6678,TECHNO MEDICA CO,117800.0,3000.0,True
6699,DIAMOND ELECTRIC H,349600.0,8800.0,True
6701,NEC CORP,39753500.0,995500.0,True
6702,FUJITSU,55711200.0,1395100.0,True
6703,OKI ELECTRIC IND,2932500.0,73400.0,True
6706,DKK CO LTD,221900.0,5600.0,True
6707,SANKEN ELECTRIC CO,618900.0,15500.0,True
6718,AIPHONE CO LTD,316300.0,7900.0,True
6723,RENESAS ELECTRONIC,58701700.0,1470000.0,True
6724,SEIKO EPSON CORP,7536300.0,188700.0,True
6727,WACOM CO LTD,3631200.0,90900.0,True
6728,ULVAC INC,1548800.0,38800.0,True
6730,AXELL CORP,276600.0,6900.0,True
6737,EIZO CORP,854000.0,21400.0,True
6740,JAPAN DISPLAY INC,39972700.0,1001000.0,True
6741,NIPPON SIGNAL CO,1531800.0,38400.0,True
6742,KYOSAN ELECTRIC,1408900.0,35300.0,True
6744,NOHMI BOSAI,818100.0,20500.0,True
6745,HOCHIKI CORP,1420200.0,35600.0,True
6750,ELECOM CO,1447000.0,36200.0,True
6752,PANASONIC HLDGS CO,71529700.0,1791200.0,True
6753,SHARP CORP,7289500.0,182500.0,True
6754,ANRITSU CORP,3959200.0,99100.0,True
6758,SONY GROUP CORPORA,200568600.0,5022600.0,True
6762,TDK CORP,52285900.0,1309300.0,True
6763,TEIKOKU TSUSHIN,265300.0,6600.0,True
6768,TAMURA CORP,2411900.0,60400.0,True
6770,ALPS ALPINE CO LTD,4664600.0,116800.0,True
6779,NIHON DEMPA KOGYO,725900.0,18200.0,True
6785,SUZUKI CO LTD,355200.0,8900.0,True
6787,MEIKO ELECTRONICS,540700.0,13500.0,True
6788,NIHON TRIM CO LTD,135800.0,3400.0,True
6794,FOSTER ELECTRIC CO,560400.0,14000.0,True
6798,SMK CORP,145200.0,3600.0,True
6800,YOKOWO CO LTD,534600.0,13400.0,True
6804,HOSIDEN CORP,1180200.0,29600.0,True
6806,HIROSE ELECTRIC,851400.0,21300.0,True
6807,JAPAN AVIATN ELECT,1418300.0,35500.0,True
6809,TOA CORP,612200.0,15300.0,True
6810,MAXELL LTD,1093800.0,27400.0,True
6814,FURUNO ELECTRIC CO,786400.0,19700.0,True
6817,SUMIDA CORP,1040200.0,26000.0,True
6820,ICOM INCORPORATED,233000.0,5800.0,True
6823,RION CO LTD,249300.0,6200.0,True
6841,YOKOGAWA ELECTRIC,6341700.0,158800.0,True
6844,SHINDENGEN ELECTRC,255100.0,6400.0,True
6845,AZBIL CORP,14561800.0,364700.0,True
6849,NIHON KOHDEN CORP,4894300.0,122600.0,True
