ETF_CODE,ETF_NAME_JP,ETF_TYPE,LIST_DATE,LOT_SIZE,SECTOR,ASSET_CLASS,TOP_BUY_STOCK,NET_FLOW
1364,iシェアーズ JPX日経400 ETF,PASSIVE,2014/12/2,1.0,Market,JP Equity,,0.0
1365, iFreeETF 日経平均レバレッジ・インデックス ,LEVERAGED_INVERSE, 2015/1/6,1.0,Market,JP Equity,,0.0
1366, iFreeETF 日経平均ダブルインバース・インデックス,LEVERAGED_INVERSE,2015/1/6,1.0,Leveraged,Leveraged/Inverse,,0.0
1367, iFreeETF TOPIXレバレッジ（2倍）指数 ,LEVERAGED_INVERSE,2015/1/6,1.0,Market,JP Equity,,0.0
1368, iFreeETF TOPIXダブルインバース（-2倍）指数 ,LEVERAGED_INVERSE, 2015/1/6,1.0,Leveraged,Leveraged/Inverse,,0.0
1369,One ETF 日経225,PASSIVE,2015/1/15,1.0,Market,JP Equity,,0.0
1397,SMDAM 日経225上場投信,PASSIVE,2015/3/25,1.0,Market,JP Equity,,0.0
1398,SMDAM 東証REIT指数上場投信,REIT,2015/3/25,10.0,Other,JP Equity,,0.0
1399,上場インデックスファンドMSCI日本株高配当低ボラティリティ,PASSIVE,2015/12/1,1.0,Other,JP Equity,,0.0
140A, iFreeETF 米国10年国債先物インバース ,BOND,2024/2/28,1.0,Leveraged,Leveraged/Inverse,,0.0
1456, iFreeETF 日経平均インバース・インデックス ,LEVERAGED_INVERSE, 2015/4/27,1.0,Leveraged,Leveraged/Inverse,,0.0
1457,iFreeETF TOPIXインバース（-1倍）指数 ,LEVERAGED_INVERSE, 2015/4/27,1.0,Leveraged,Leveraged/Inverse,,0.0
1458,楽天ETF‐日経レバレッジ指数連動型,LEVERAGED_INVERSE, 2015/7/15,1.0,Market,JP Equity,,0.0
1459,楽天ETF‐日経ダブルインバース指数連動型,LEVERAGED_INVERSE,2015/7/15,1.0,Leveraged,Leveraged/Inverse,,0.0
1466, iFreeETF JPX日経400ダブルインバース・インデックス ,LEVERAGED_INVERSE,ト 2015/8/24,1.0,Leveraged,Leveraged/Inverse,,0.0
1469,JPX日経400ベア2倍上場投信(ダブルインバース) ,LEVERAGED_INVERSE,2015/8/24,10.0,Leveraged,Leveraged/Inverse,,0.0
1472,NEXT FUNDS JPX日経400ダブルインバース･インデックス連動型上場投信,LEVERAGED_INVERSE, 2015/8/24,1.0,Leveraged,Leveraged/Inverse,,0.0
1473,One ETF トピックス,PASSIVE,2015/9/7,10.0,Market,JP Equity,ＮＴＴ,7663000.0
1474,One ETF JPX日経400,PASSIVE,2015/9/7,1.0,Market,JP Equity,,0.0
1475,iシェアーズ･コア TOPIX ETF,PASSIVE,2015/10/20,10.0,Other,JP Equity,,0.0
1476,iシェアーズ･コア Jリート ETF,REIT,2015/10/20,1.0,Other,JP Equity,,0.0
1477,iシェアーズ MSCI 日本株最小分散 ETF,REIT,2015/10/20,1.0,Other,JP Equity,,0.0
1478,iシェアーズ MSCI ジャパン高配当利回リ ETF,PASSIVE,2015/10/20,1.0,Dividend,JP Equity,,-1649600.0
1479,iFreeETF MSCI日本株人材設備投資指数,PASSIVE,2016/5/19,1.0,Other,JP Equity,,0.0
1480,NEXT FUNDS 野村企業価値分配指数連動型上場投信,PASSIVE,2016/5/19,1.0,Other,JP Equity,,0.0
1481,上場インデックスファンド日本経済貢献株,PASSIVE,2016/5/25,1.0,Other,JP Equity,,0.0
1482,iシェアーズ･コア 米国債7-10年 ETF(為替ヘッジあり),BOND,2016/5/27,1.0,Bond,Bond,,0.0
1483,iシェアーズ JPX/S&P 設備･人材投資 ETF,PASSIVE,2016/6/10,1.0,Other,JP Equity,ＮＴＴ,14900.0
1484,One ETF JPX/S&P 設備･人材投資指数,PASSIVE,2016/6/10,10.0,Other,JP Equity,,-2000.0
1485,MAXIS JAPAN 設備･人材積極投資企業200上場投信,ACTIVE,2016/6/29,1.0,Other,JP Equity,,0.0
1486,上場インデックスファンド米国債券(為替ヘッジなし),BOND,2016/8/31,1.0,Bond,Bond,,0.0
1487,上場インデックスファンド米国債券(為替ヘッジあり),BOND,2016/8/31,1.0,Bond,Bond,,0.0
1488,iFreeETF 東証REIT指数,REIT,2016/10/25,1.0,Other,JP Equity,,0.0
1489,NEXT FUNDS 日経平均高配当株50指数連動型上場投信,PASSIVE,2017/2/13,1.0,Market,JP Equity,ソフトバンク,971600.0
1490,上場インデックスファンドMSCI日本株高配当低ボラティリティ(βヘッジ),PASSIVE,2017/3/13,1.0,Other,JP Equity,,0.0
1493,One ETF JPX日経中小型,PASSIVE,2017/5/23,1.0,Market,JP Equity,,0.0
1494,One ETF 高配当日本株,PASSIVE,2017/5/23,1.0,Other,JP Equity,,0.0
1495,上場インデックスファンドアジアリート,REIT,2017/6/29,1.0,Other,JP Equity,,0.0
1498,One ETF ESG,PASSIVE,2017/11/28,1.0,Other,JP Equity,,0.0
1499,MAXIS日本株高配当70マーケットニュートラル上場投信,PASSIVE,2017/12/13,1.0,Dividend,JP Equity,,0.0
1545,ＮＥＸＴ ＦＵＮＤＳ ＮＡＳＤＡＱ－１００®（為替ヘッジなし）連動型上場投信,PASSIVE,2010/8/16,10.0,Other,JP Equity,,0.0
1546,ＮＥＸＴ ＦＵＮＤＳ ダウ・ジョーンズ,PASSIVE,2010/8/16,1.0,Other,JP Equity,,0.0
1547,上場インデックスファンド米国株式(S&P500),PASSIVE,2010/10/29,1.0,Other,JP Equity,,0.0
1550,MAXIS 海外株式(MSCIコクサイ)上場投信,PASSIVE,2010/11/25,1.0,Other,JP Equity,,0.0
1551,東証スタンダードＴＯＰ２０ＥＴＦ,PASSIVE,2010/12/3,10.0,Other,JP Equity,,0.0
1554,上場インデックスファンド世界株式(MSCI ACWI)除く日本,PASSIVE,2011/3/8,1.0,Other,JP Equity,,0.0
1555,上場インデックスファンド豪州リート(S&P/ASX200 A‐REIT),REIT,2011/3/9,1.0,Other,JP Equity,,0.0
1559,NEXT FUNDS タイ株式SET50指数連動型上,PASSIVE,2011/5/12,1.0,Other,JP Equity,,0.0
1560,NEXT FUNDS FTSEブルサ･マレーシアKLC,PASSIVE,2011/5/12,1.0,Other,JP Equity,,0.0
1563,東証グロース・コア ＥＴＦ,PASSIVE,2011/11/29,1.0,Other,JP Equity,,-303200.0
1566,上場インデックスファンド新興国債券,BOND,2012/3/30,1.0,Bond,Bond,,0.0
1568, TOPIXブル2倍上場投信,LEVERAGED_INVERSE, 2012/4/5,10.0,Market,JP Equity,,0.0
1569,TOPIXベア上場投信,LEVERAGED_INVERSE,2012/4/5,10.0,Leveraged,Leveraged/Inverse,,0.0
1570,NEXT FUNDS 日経平均レバレッジ･インデックス連動型上場投信,LEVERAGED_INVERSE,2012/4/12,1.0,Market,JP Equity,,0.0
1571,NEXT FUNDS 日経平均インバース･インデックス連動型上場投信,LEVERAGED_INVERSE, 2012/4/12,1.0,Leveraged,Leveraged/Inverse,,0.0
1572,中国H株ブル2倍上場投信,LEVERAGED_INVERSE,2012/12/6,10.0,Other,JP Equity,,0.0
1573,中国H株ベア上場投信,LEVERAGED_INVERSE,2012/12/6,10.0,Other,JP Equity,,0.0
1577,NEXT FUNDS 野村日本株高配当70連動型上場投信,PASSIVE,2013/3/7,1.0,Dividend,JP Equity,,-389200.0
1578,上場インデックスファンド日経225(ミニ),PASSIVE,2013/3/25,1.0,Market,JP Equity,,0.0
1579,日経平均ブル2倍上場投信 ,LEVERAGED_INVERSE,2013/5/9,10.0,Market,JP Equity,,0.0
1580,日経平均ベア上場投信 ,LEVERAGED_INVERSE, 2013/5/9,10.0,Leveraged,Leveraged/Inverse,,0.0
1585,iFreeETF TOPIX Ex-Financials,PASSIVE,2013/9/20,10.0,Market,JP Equity,,0.0
1586,上場インデックスファンドTOPIX Ex-Financials,PASSIVE,2013/9/26,1.0,Market,JP Equity,,0.0
1591,NEXT FUNDS JPX日経インデックス400連動型上場投信,PASSIVE,2014/1/28,1.0,Market,JP Equity,,-2740300.0
1592,上場インデックスファンドJPX日経インデックス400,PASSIVE,2014/1/28,1.0,Market,JP Equity,,0.0
1593,MAXIS JPX日経インデックス400上場投信,PASSIVE,2014/2/6,1.0,Market,JP Equity,,0.0
1595,NZAM 上場投信 東証REIT指数,REIT,2014/3/7,1.0,Other,JP Equity,,0.0
1596,NZAM 上場投信 TOPIX Ex-Financials,PASSIVE,2014/3/7,1.0,Other,JP Equity,,0.0
1597,MAXIS Jリート上場投信,REIT,2014/2/25,1.0,Other,JP Equity,,0.0
1599,iFreeETF JPX日経400,PASSIVE,2014/3/27,1.0,Market,JP Equity,,0.0
159A,ＮＥＸＴ ＦＵＮＤＳ ＪＰＸプライム１５０指数連動型上場投信,PASSIVE,2024/3/18,10.0,Other,JP Equity,,0.0
1615,NEXT FUNDS 東証銀行業株価指数連動型上場投信,PASSIVE,2002/4/3,10.0,Bank,JP Equity,,-216800.0
1617,NEXT FUNDS 食品(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,0.0
1618,NEXT FUNDS エネルギー資源(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,-339600.0
1619,NEXT FUNDS 建設･資材(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,0.0
1620,NEXT FUNDS 素材･化学(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,0.0
1621,NEXT FUNDS 医薬品(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,0.0
1622,NEXT FUNDS 自動車･輸送機(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,0.0
1623,NEXT FUNDS 鉄鋼･非鉄(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,日本製鉄,1124900.0
1624,NEXT FUNDS 機械(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,0.0
1625,NEXT FUNDS 電機･精密(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,-68200.0
1626,NEXT FUNDS 情報通信･サービスその他(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,0.0
1627,NEXT FUNDS 電力･ガス(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,東京電力ホールディングス,326800.0
1628,NEXT FUNDS 運輸･物流(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,東日本旅客鉄道,210700.0
1629,NEXT FUNDS 商社･卸売(TOPIX-17)上場投信,PASSIVE,2008/3/25,10.0,Market,JP Equity,伊藤忠商事,1200.0
1630,NEXT FUNDS 小売(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,-304200.0
1631,NEXT FUNDS 銀行(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,-124900.0
1632,NEXT FUNDS 金融(除く銀行)(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,-822000.0
1633,NEXT FUNDS 不動産(TOPIX-17)上場投信,PASSIVE,2008/3/25,1.0,Market,JP Equity,,0.0
1651,iFreeETF TOPIX高配当40指数,PASSIVE,2017/9/26,1.0,Market,JP Equity,,0.0
1652,iFreeETF MSCI日本株女性活躍指数（WIN）,PASSIVE,2017/9/26,10.0,Other,JP Equity,,0.0
1653,iFreeETF MSCIジャパンESGセレクト・リーダーズ指数,PASSIVE,2017/9/26,10.0,Other,JP Equity,,0.0
1654,iFreeETF FTSE JPX Blossom Japan Index,PASSIVE,2017/9/26,10.0,Other,JP Equity,,0.0
1655,iシェアーズ S&P 500 米国株 ETF,PASSIVE,2017/9/28,10.0,Other,JP Equity,,0.0
1656,iシェアーズ･コア 米国債7-10年 ETF,BOND,2017/9/28,10.0,Bond,Bond,,0.0
1657,iシェアーズ･コア MSCI 先進国株(除く日本)ETF,PASSIVE,2017/9/28,1.0,Other,JP Equity,,0.0
1658,iシェアーズ･コア MSCI 新興国株 ETF,PASSIVE,2017/9/28,1.0,Other,JP Equity,,0.0
1659,iシェアーズ 米国リート ETF,REIT,2017/9/28,1.0,Other,JP Equity,,0.0
1660,MAXIS高利回リJリート上場投信,REIT,2017/10/11,1.0,Other,JP Equity,,0.0
1677,上場インデックスファンド海外債券(FTSE WGBI)毎月分配型,BOND,2009/9/30,10.0,Bond,Bond,,0.0
1678,NEXT FUNDS インド株式指数･Nifty 50連,PASSIVE,2009/11/26,10.0,Other,JP Equity,,0.0
1680,上場インデックスファンド海外先進国株式(MSCI-KOKUSAI),PASSIVE,2010/1/29,1.0,Other,JP Equity,,0.0
1681,上場インデックスファンド海外新興国株式(MSCIエマージング),PASSIVE,2010/2/24,1.0,Other,JP Equity,,0.0
1698,上場インデックスファンド日本高配当(東証配当フォーカス100),PASSIVE,2010/5/14,1.0,Other,JP Equity,,0.0
1699,NEXT FUNDS NOMURA原油インデックス連動型上場投信,PASSIVE,2010/5/17,10.0,Other,JP Equity,,0.0
170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,ACTIVE,2024/3/25,1.0,Active,JP Equity,,-534.6940439999987
178A,グローバルＸ 革新的優良企業 ETF,PASSIVE,2024/4/10,1.0,Other,JP Equity,,0.0
179A,グローバルＸ 超長期米国債 ETF（為替ヘッジあり）,BOND,2024/4/10,10.0,Bond,Bond,,0.0
180A,グローバルＸ 超長期米国債 ETF,BOND,2024/4/10,10.0,Bond,Bond,,0.0
181A,ＭＡＸＩＳ米国国債１-３年上場投信（為替ヘッジなし）,BOND,2024/4/25,10.0,Bond,Bond,,0.0
182A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,BOND,2024/4/25,10.0,Bond,Bond,,0.0
183A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,BOND,2024/4/25,10.0,Bond,Bond,,0.0
188A,グローバルＸ インド・トップ10+ ETF,PASSIVE,2024/5/23,1.0,Other,JP Equity,,0.0
200A,ＮＥＸＴ ＦＵＮＤＳ 日経半導体株指数連動型上場投信,PASSIVE,2024/6/4,1.0,Market,JP Equity,ルネサスエレクトロニクス,18200.0
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,ACTIVE,2023/11/29,10.0,Active,JP Equity,,0.0
2012,iシェアーズ　米国債0-3ヶ月 ETF,BOND,2024/1/18,10.0,Bond,Bond,,0.0
2013,iシェアーズ　米国高配当株 ETF,PASSIVE,2024/1/18,10.0,Other,JP Equity,,0.0
2014,iシェアーズ　米国連続増配株 ETF,PASSIVE,2024/1/18,10.0,Other,JP Equity,,0.0
2015,iFreeETF 米国国債7-10年（為替ヘッジなし）,BOND,2024/1/18,1.0,Bond,Bond,,0.0
2016,iFreeETF 米国国債7-10年（為替ヘッジあり）,BOND,2024/1/18,1.0,Bond,Bond,,0.0
2017,iFreeETF JPXプライム150,PASSIVE,2024/1/24,1.0,Other,JP Equity,,0.0
2018,グローバルＸ US REIT・トップ20 ETF,REIT,2024/1/31,1.0,Other,JP Equity,,0.0
2019,グローバルＸ 米国優先証券 ETF（隔月分配型）,PASSIVE,2024/1/31,1.0,Bond,Bond,,0.0
2080,ＰＢＲ１倍割れ解消推進ＥＴＦ,PASSIVE,2023/9/7,1.0,Active,JP Equity,,0.0
2081,政策保有解消推進ＥＴＦ,PASSIVE,2023/9/7,1.0,Active,JP Equity,,0.0
2082,投資家経営者一心同体ＥＴＦ,PASSIVE,2023/9/7,1.0,Active,JP Equity,,0.0
2083,ＮＥＸＴ ＦＵＮＤＳ 日本成長株アクティブ上場投信,ACTIVE,2023/9/7,1.0,Active,JP Equity,いすゞ自動車,-2100.0
2084,ＮＥＸＴ ＦＵＮＤＳ 日本高配当株アクティブ上場投信,ACTIVE,2023/9/7,1.0,Active,JP Equity,,0.0
2085,ＭＡＸＩＳ高配当日本株アクティブ上場投信,ACTIVE,2023/9/7,10.0,Active,JP Equity,,0.0
2086,NZAM 上場投信 S＆P500（為替ヘッジあり）,PASSIVE,2023/9/22,1.0,Other,JP Equity,,0.0
2087,NZAM 上場投信 NASDAQ100（為替ヘッジあり）,PASSIVE,2023/9/22,1.0,Other,JP Equity,,0.0
2088,NZAM 上場投信 NYダウ30（為替ヘッジあり）,PASSIVE,2023/9/22,1.0,Other,JP Equity,,0.0
2089,NZAM 上場投信 DAX（為替ヘッジあり）,PASSIVE,2023/9/22,1.0,Other,JP Equity,,0.0
2090,NZAM 上場投信 米国国債7-10年（為替ヘッジあり）,BOND,2023/9/22,1.0,Bond,Bond,,0.0
2091,NZAM 上場投信 ドイツ国債7-10年（為替ヘッジあり）,BOND,2023/9/22,1.0,Bond,Bond,,0.0
2092,NZAM 上場投信 フランス国債7-10年（為替ヘッジあり）,BOND,2023/9/22,1.0,Bond,Bond,,0.0
2093,上場Tracers 米国債0-2年ラダー（為替ヘッジなし）,BOND,2023/10/5,1.0,Bond,Bond,,0.0
2094,東証ＲＥＩＴインバースＥＴＦ ,REIT, 2023/10/6,1.0,Leveraged,Leveraged/Inverse,,0.0
2095,グローバルＸ S&P500配当貴族 ETF（為替ヘッジあり）,PASSIVE,2023/10/26,1.0,Other,JP Equity,,0.0
2096,グローバルＸ オフィス・J-REIT ETF,REIT,2023/10/26,1.0,Other,JP Equity,,0.0
2097,グローバルＸ レジデンシャル・J-REIT ETF,REIT,2023/10/26,1.0,Other,JP Equity,,0.0
2098,グローバルＸ ホテル＆リテール・J-REIT ETF,REIT,2023/10/26,1.0,Other,JP Equity,,0.0
210A,iFreeETF 日経高利回りREIT指数,REIT,2024/6/26,1.0,Market,JP Equity,,0.0
213A,上場インデックスファンド日経半導体株,PASSIVE,2024/7/12,10.0,Market,JP Equity,,0.0
221A,ＭＡＸＩＳ日経半導体株上場投信,PASSIVE,2024/7/19,10.0,Market,JP Equity,ルネサスエレクトロニクス,949.8050410000278
2235,上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし,PASSIVE,2022/12/16,1.0,Other,JP Equity,,0.0
2236,グローバルＸ S&P500配当貴族ETF,PASSIVE,2023/1/13,1.0,Other,JP Equity,,0.0
2237, iFreeETF S&P500レバレッジ ,LEVERAGED_INVERSE, 2023/2/1,1.0,Other,JP Equity,,0.0
2238, iFreeETF S&P500インバース,LEVERAGED_INVERSE,2023/2/1,1.0,Leveraged,Leveraged/Inverse,,0.0
2239,上場インデックスファンドS＆P500先物レバレッジ２倍,LEVERAGED_INVERSE,2023/3/17,1.0,Other,JP Equity,,0.0
223A,グローバルＸ AI＆ビッグデータ ETF,PASSIVE,2024/7/25,1.0,Other,JP Equity,,0.0
2240,上場インデックスファンドS＆P500先物インバース ,LEVERAGED_INVERSE,2023/3/17,1.0,Leveraged,Leveraged/Inverse,,0.0
2241,ＭＡＸＩＳ ＮＹダウ上場投信,PASSIVE,2023/3/10,10.0,Other,JP Equity,,0.0
2242,ＭＡＸＩＳ ＮＹダウ上場投信（為替ヘッジあり）,PASSIVE,2023/3/10,10.0,Other,JP Equity,,0.0
2243,グローバルＸ 半導体 ETF,PASSIVE,2023/4/13,1.0,Semiconductor,JP Equity,,0.0
2244,グローバルＸ US テック・トップ20 ETF,PASSIVE,2023/4/13,1.0,Other,JP Equity,,0.0
2245,ＮＥＸＴ ＦＵＮＤＳ ブルームバーグ・ドイツ国債（7-10年）インデックス（為替ヘッジあり）連動型上場投信,BOND,2023/4/26,10.0,Bond,Bond,,0.0
2247,iFreeETF S&P500（為替ヘッジなし）,PASSIVE,2023/5/12,1.0,Other,JP Equity,,0.0
2248,iFreeETF S&P500（為替ヘッジあり）,PASSIVE,2023/5/12,1.0,Other,JP Equity,,0.0
2249, iFreeETF S&P500ダブルインバース,LEVERAGED_INVERSE, 2023/5/12,1.0,Leveraged,Leveraged/Inverse,,0.0
224A,グローバルＸ ウラニウムビジネス ETF,PASSIVE,2024/7/25,1.0,Other,JP Equity,,0.0
2250,iシェアーズ　MSCI ジャパン気候変動アクション ETF,PASSIVE,2023/6/8,10.0,Other,JP Equity,,0.0
2251,NEXT FUNDS JPX国債先物ダブルインバース指数連動型上場投信,BOND, 2023/6/23,10.0,Leveraged,Leveraged/Inverse,,0.0
2252,グローバルＸ Morningstar 米国中小型 Moat ETF,PASSIVE,2023/7/13,1.0,Other,JP Equity,,0.0
2253,グローバルＸ スーパーディビィデンド-US ETF,PASSIVE,2023/7/13,1.0,Other,JP Equity,,0.0
2254,グローバルＸ チャイナEV＆バッテリー ETF,PASSIVE,2023/7/13,1.0,Other,JP Equity,,0.0
2255,iシェアーズ　米国債20年超 ETF,BOND,2023/11/28,10.0,Bond,Bond,,0.0
2256,iシェアーズ　米国総合債券 ETF,BOND,2023/11/28,10.0,Bond,Bond,,0.0
2257,iシェアーズ　米ドル建て投資適格社債 ETF,BOND,2023/11/28,10.0,Bond,Bond,,0.0
2258,iシェアーズ　米ドル建てハイイールド社債 ETF,BOND,2023/11/28,10.0,Bond,Bond,,0.0
2259,iシェアーズ　フランス国債7-10年 ETF（為替ヘッジあり）,BOND,2023/11/28,10.0,Bond,Bond,,0.0
233A,iFreeETF インドNifty50,PASSIVE,2024/8/20,1.0,Other,JP Equity,,0.0
234A,グローバルＸ MSCI キャッシュフローキング-日本株式 ETF,PASSIVE,2024/8/22,1.0,Other,JP Equity,,0.0
235A,グローバルＸ 高配当30-日本株式 ETF,PASSIVE,2024/8/22,1.0,Other,JP Equity,,0.0
236A,iシェアーズ　日本国債7-10年 ETF,BOND,2024/8/28,10.0,Bond,Bond,,0.0
237A,iシェアーズ　米国債25年超 ロングデュレーション ETF,BOND,2024/8/28,10.0,Bond,Bond,,0.0
238A,iシェアーズ　米国債25年超 ロングデュレーション ETF（為替ヘッジあり）,BOND,2024/8/28,10.0,Bond,Bond,,0.0
2510,NEXT FUNDS国内債券・NOMURA‐BPI総合連動型上場投信,BOND,2017/12/11,10.0,Bond,Bond,,0.0
2511,NEXT FUNDS外国債券・FTSE世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信,BOND,2017/12/11,10.0,Bond,Bond,,0.0
2512,NEXT FUNDS外国債券・FTSE世界国債インデックス（除く日本・為替ヘッジあり）連動型上場投信,BOND,2017/12/11,10.0,Bond,Bond,,0.0
2513,NEXT FUNDS外国株式・MSCI-KOKUSAI指数（為替ヘッジなし）連動型上場投信,PASSIVE,2017/12/11,1.0,Other,JP Equity,,0.0
2514,NEXT FUNDS外国株式・MSCI-KOKUSAI指数（為替ヘッジあり）連動型上場投信,PASSIVE,2017/12/11,1.0,Other,JP Equity,,0.0
2515,NEXT FUNDS 外国REIT・S&P先進国REIT指数（除く日本・為替ヘッジなし）連動型上場投信,REIT,2017/12/11,1.0,Other,JP Equity,,0.0
2516,東証グロース２５０ETF,PASSIVE,2018/2/1,10.0,Other,JP Equity,アンジェス,4800.0
2517,MAXIS Jリート・コア上場投信,REIT,2018/4/17,10.0,Other,JP Equity,,0.0
2518,NEXT FUNDS MSCI日本株女性活躍指数（セレクト）連動型上場投信,PASSIVE,2018/5/15,1.0,Other,JP Equity,,0.0
2519,NEXT FUNDS 新興国債券・J.P.モルガン・エマージング・マーケット・ボンド・インデックス・プラス（為替ヘッジなし）連動型上場投信,BOND,2018/7/10,10.0,Bond,Bond,,0.0
2520,NEXT FUNDS新興国株式・MSCIエマージング・マーケット・インデックス（為替ヘッジなし）連動型上場投信,PASSIVE,2018/7/10,1.0,Other,JP Equity,,0.0
2521,上場インデックスファンド米国株式(S&P500)為替ヘッジあり,PASSIVE,2018/8/3,1.0,Other,JP Equity,,0.0
2522,iシェアーズ オートメーション ＆ ロボット ETF,PASSIVE,2018/11/15,1.0,Other,JP Equity,,0.0
2523,ＭＡＸＩＳトピックス（除く金融）上場投信,PASSIVE,2019/1/11,10.0,Market,JP Equity,,0.0
2524,NZAM 上場投信 TOPIX,PASSIVE,2019/2/6,1.0,Market,JP Equity,,0.0
2525,NZAM 上場投信 日経225,PASSIVE,2019/2/6,1.0,Market,JP Equity,,0.0
2526,NZAM 上場投信 JPX日経400,PASSIVE,2019/2/6,1.0,Market,JP Equity,,0.0
2527,NZAM 上場投信 東証REIT Core指数,REIT,2019/2/6,1.0,Other,JP Equity,,0.0
2528,iFreeETF 東証REIT Core指数,REIT,2019/2/8,1.0,Other,JP Equity,,0.0
2529,NEXT FUNDS 野村株主還元70連動型上場投信,PASSIVE,2019/4/19,1.0,Other,JP Equity,,0.0
2552,上場インデックスファンドJリート(東証REIT指数)隔月分配型(ミニ),REIT,2019/6/4,1.0,Other,JP Equity,,0.0
2553,One ETF 南方　中国Ａ株　CSI500,PASSIVE,2019/6/25,10.0,Other,JP Equity,,0.0
2554,NEXT FUNDS ブルームバーグ米国投資適格社債(1-10 年)インデックス(為替ヘッジあり)連動型上場投信,PASSIVE,2019/6/28,10.0,Bond,Bond,,0.0
2555,東証REIT ETF,REIT,2019/7/16,10.0,Other,JP Equity,,0.0
2556,One ETF 東証REIT指数,REIT,2019/8/15,10.0,Other,JP Equity,,0.0
