ETF_CODE,ETF_NAME_JP,ETF_TYPE,LIST_DATE,LOT_SIZE,SECTOR,ASSET_CLASS,TOP_BUY_STOCK,NET_FLOW
283A,グローバルＸ US テック・配当貴族 ETF,PASSIVE,2024/11/21,1.0,Other,JP Equity,,0.0
2840,iFreeETF NASDAQ100（為替ヘッジなし）,PASSIVE,2022/2/2,1.0,Other,JP Equity,,0.0
2841,iFreeETF NASDAQ100（為替ヘッジあり）,PASSIVE,2022/2/2,1.0,Other,JP Equity,,0.0
2842, iFreeETF NASDAQ100インバース ,LEVERAGED_INVERSE, 2022/2/2,1.0,Leveraged,Leveraged/Inverse,,0.0
2843,上場インデックスファンド豪州国債（為替ヘッジあり）,BOND,2022/2/17,1.0,Bond,Bond,,0.0
2844,上場インデックスファンド豪州国債（為替ヘッジなし）,BOND,2022/2/17,1.0,Bond,Bond,,0.0
2845,ＮＥＸＴ ＦＵＮＤＳ ＮＡＳＤＡＱ－１００®（為替ヘッジあり）連動型上場投信,PASSIVE,2022/3/18,1.0,Other,JP Equity,,0.0
2846,ＮＥＸＴ ＦＵＮＤＳ ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信,PASSIVE,2022/3/18,1.0,Other,JP Equity,,0.0
2847,グローバルＸ 新成長インフラ-日本株式 ETF,PASSIVE,2022/3/24,1.0,Other,JP Equity,,0.0
2848,グローバルＸ MSCI 気候変動対応-日本株式 ETF,PASSIVE,2022/3/24,1.0,Other,JP Equity,,0.0
2849,グローバルＸ Morningstar 高配当 ESG-日本株式 ETF,PASSIVE,2022/3/24,1.0,Other,JP Equity,,0.0
2851,iシェアーズ　MSCI ジャパンSRI ETF,PASSIVE,2022/6/8,10.0,Other,JP Equity,,0.0
2852,iシェアーズ　グリーンＪリート ETF,REIT,2022/5/25,10.0,Other,JP Equity,,0.0
2853,iシェアーズ　気候リスク調整世界国債 ETF（除く日本・為替ヘッジあり）,BOND,2022/5/25,10.0,Bond,Bond,,0.0
2854,グローバルＸ テック・トップ20-日本株式 ETF,PASSIVE,2022/6/24,1.0,Other,JP Equity,,0.0
2855,グローバルＸ グリーン・J-REIT ETF,REIT,2022/6/24,1.0,Other,JP Equity,,0.0
2856,iシェアーズ　米国債3-7年 ETF（為替ヘッジあり）,BOND,2022/7/27,10.0,Bond,Bond,,0.0
2857,iシェアーズ　ドイツ国債 ETF（為替ヘッジあり）,BOND,2022/7/27,10.0,Bond,Bond,,0.0
2858,グローバルＸ 日経225 カバード・コール ETF（プレミアム再投資型）,PASSIVE,2022/7/29,1.0,Market,JP Equity,,0.0
2859,ＮＥＸＴ ＦＵＮＤＳ ユーロ・ストックス50指数（為替ヘッジあり）連動型上場投信,PASSIVE,2022/9/2,1.0,Other,JP Equity,,0.0
2860,ＮＥＸＴ ＦＵＮＤＳ ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信,PASSIVE,2022/9/2,1.0,Other,JP Equity,,0.0
2861,上場インデックスファンドフランス国債（為替ヘッジなし）,BOND,2022/8/17,1.0,Bond,Bond,,0.0
2862,上場インデックスファンドフランス国債（為替ヘッジあり）,BOND,2022/8/17,1.0,Bond,Bond,,0.0
2864,グローバルＸ ロジスティクス・REIT ETF,REIT,2022/9/30,1.0,Other,JP Equity,,0.0
2865,グローバルＸ NASDAQ100・カバード・コール ETF,PASSIVE,2022/9/30,1.0,Other,JP Equity,,0.0
2866,グローバルＸ 米国優先証券 ETF,PASSIVE,2022/9/30,1.0,Bond,Bond,,0.0
2867,グローバルＸ 自動運転＆EV ETF,PASSIVE,2022/11/8,1.0,Other,JP Equity,,0.0
2868,グローバルＸ S&P500・カバード・コール ETF,PASSIVE,2022/11/8,1.0,Other,JP Equity,,0.0
2869, iFreeETF NASDAQ100レバレッジ,LEVERAGED_INVERSE,2022/11/16,1.0,Other,JP Equity,,0.0
2870, iFreeETF NASDAQ100ダブルインバース,LEVERAGED_INVERSE, 2022/11/16,1.0,Leveraged,Leveraged/Inverse,,0.0
294A,ＮＥＸＴ ＦＵＮＤＳ ＭＳＣＩジャパン気候変動指数（セレクト）連動型上場投信,PASSIVE,2024/12/3,1.0,Other,JP Equity,,0.0
295A,Ｏｎｅ　ＥＴＦ　ＦＴＳＥ・サウジアラビア・インデックス,PASSIVE,2024/12/12,1.0,Other,JP Equity,,0.0
313A,iシェアーズ　S&P 500 トップ 20 ETF,PASSIVE,2025/1/16,10.0,Other,JP Equity,,0.0
314A,iシェアーズ　ゴールド ETF,PASSIVE,2025/1/16,10.0,Other,JP Equity,,0.0
315A,グローバルＸ 銀行 高配当-日本株式 ETF,PASSIVE,2025/1/9,1.0,Market,JP Equity,,0.0
316A,iFreeETF FANG+,PASSIVE,2025/1/10,1.0,Other,JP Equity,,0.0
328A,グローバルＸ プライシングパワー・リーダーズ-日本株式 ETF,PASSIVE,2025/2/20,1.0,Other,JP Equity,,0.0
346A,ＮＥＸＴ ＦＵＮＤＳ Ｓ＆Ｐ 500 半導体・半導体製造装置35％キャップ指数連動型上場投信,PASSIVE,2025/3/27,1.0,Semiconductor,JP Equity,,0.0
348A,ＭＡＸＩＳ読売３３３日本株上場投信,PASSIVE,2025/3/27,10.0,Other,JP Equity,ＨＯＹＡ,28.111963999995965
349A,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本グロース株式,ACTIVE,2025/3/28,10.0,Active,JP Equity,日清紡ホールディングス,3200.0
354A,iFreeETF ブルームバーグ日本株高配当50指数,PASSIVE,2025/4/17,1.0,Dividend,JP Equity,,0.0
356A,グローバルＸ S&P500 キャッシュフロー・トップ100 ETF,PASSIVE,2025/4/16,1.0,Other,JP Equity,,0.0
360A,東証ＲＥＩＴ Ｃｏｒｅ ＥＴＦ,REIT,2025/5/12,10.0,Other,JP Equity,,0.0
363A,iFreeETF 英国FTSE100,PASSIVE,2025/5/29,1.0,Other,JP Equity,,0.0
364A,ＮＥＸＴ ＦＵＮＤＳ Ｓ＆Ｐ 500 配当貴族指数連動型上場投信,PASSIVE,2025/6/11,1.0,Other,JP Equity,,0.0
376A,ＮＥＸＴ ＦＵＮＤＳ ブルームバーグ米国国債（7-10年）インデックス（75％為替ヘッジあり）連動型上場投信,BOND,2025/6/25,1.0,Bond,Bond,,0.0
379A,グローバルＸ S&P500 ETF（ダイナミック・プロテクション）,PASSIVE,2025/6/24,1.0,Other,JP Equity,,0.0
380A,グローバルＸ チャイナテック ETF,PASSIVE,2025/6/24,1.0,Other,JP Equity,,0.0
381A,iFreeETF 米国国債3-5年（為替ヘッジなし）,BOND,2025/6/25,1.0,Bond,Bond,,0.0
382A,iFreeETF 米国国債3-5年（為替ヘッジあり）,BOND,2025/6/25,1.0,Bond,Bond,,0.0
383A,ＭＡＸＩＳ Ｓ＆Ｐ５００均等ウェイト上場投信,PASSIVE,2025/6/30,1.0,Other,JP Equity,,0.0
392A,iシェアーズ　NASDAQ トップ 30 ETF,PASSIVE,2025/7/30,10.0,Other,JP Equity,,0.0
394A,業界改革厳選ＥＴＦテレビ業界,PASSIVE,2025/7/18,10.0,Active,JP Equity,,0.0
395A,業界改革厳選ＥＴＦ地銀,PASSIVE,2025/7/18,10.0,Active,JP Equity,,0.0
396A,業界改革厳選ＥＴＦ　ＲＥＩＴイベント・ドリブン,REIT,2025/7/18,10.0,Other,JP Equity,,0.0
399A,上場インデックスファンド日経平均高配当株50,PASSIVE,2025/7/24,1.0,Market,JP Equity,,0.0
404A,グローバルＸ チャイナテック・トップ10 ETF,PASSIVE,2025/8/20,1.0,Other,JP Equity,,0.0
408A,iシェアーズ　AI グローバル・イノベーション アクティブ ETF,ACTIVE,2025/9/10,10.0,Other,JP Equity,,0.0
412A,ＮＥＸＴ ＦＵＮＤＳ ＴＩＰ ＦａｃｔＳｅｔ 台湾イノベイティブ・テクノロジー50 指数連動型上場投信,PASSIVE,2025/9/18,1.0,Other,JP Equity,,0.0
413A,iFreeETF キャセイ台湾テックリーダー指数,PASSIVE,2025/9/12,1.0,Other,JP Equity,,0.0
424A,グローバルＸ ゴールド ETF（為替ヘッジあり）,PASSIVE,2025/9/26,10.0,Other,JP Equity,,0.0
425A,グローバルＸ ゴールド ETF,PASSIVE,2025/9/26,10.0,Other,JP Equity,,0.0
426A,ニッセイＥＴＦ Ｓ＆Ｐ５００イコール・ウェイト（為替ヘッジなし）,PASSIVE,2025/10/1,1.0,Other,JP Equity,,0.0
435A,iFreeETF 日本株配当ローテーション戦略,PASSIVE,2025/10/7,1.0,Active,JP Equity,,0.0
443A,iFreeETF 東証REIT指数（2・5・8・11月決算型）,REIT,2025/11/4,1.0,Other,JP Equity,,0.0
447A,ステート・ストリート・スパイダー ゴールド ETF（為替ヘッジなし）,PASSIVE,2025/11/19,10.0,Other,JP Equity,,0.0
448A,ステート・ストリート・スパイダー ゴールド ETF（為替ヘッジあり）,PASSIVE,2025/11/19,10.0,Other,JP Equity,,0.0
449A,ステート・ストリート・スパイダー S&P500® ETF（為替ヘッジなし）,PASSIVE,2025/11/19,10.0,Other,JP Equity,,0.0
450A,ステート・ストリート・スパイダー S&P500® ETF（為替ヘッジあり）,PASSIVE,2025/11/19,10.0,Other,JP Equity,,0.0
451A,ステート・ストリート・スパイダー S&P500®高配当株 ETF,PASSIVE,2025/11/19,10.0,Dividend,JP Equity,,0.0
452A,iシェアーズ　S&P 500 プレミアムインカム ETF,PASSIVE,2025/11/12,10.0,Other,JP Equity,,0.0
453A,iシェアーズ　米国債20年超 プレミアムインカム ETF,BOND,2025/11/12,10.0,Bond,Bond,,0.0
459A,野村高利回りＪリート指数ＥＴＦ,REIT,2025/11/12,1.0,Other,JP Equity,,0.0
