RANK,STOCK_CODE,STOCK_NAME,ACTIVE_BUY,PASSIVE_BUY,TOTAL_BUY,ACTIVE_RATIO,ACTIVE_RATIO_PCT,CONVICTION_SCORE
1,7202,ISUZU MOTORS,3397.8536410000006,-1600.0,1797.8536410000006,0.6798625740309069,67.98625740309069,231007.35225505495
2,3661,M UP HOLDINGS INC,1300.0,500.0,1800.0,0.7222222222222222,72.22222222222221,93888.88888888888
3,3105,NISSHINBO HOLDINGS,1400.0,1500.0,2900.0,0.4827586206896552,48.27586206896552,67586.20689655174
4,8830,SUMITOMO RLTY&DEV,1198.70955,2700.0,3898.70955,0.3074631579056716,30.746315790567163,36855.90236546866
5,3891,NIPPON KODOSHI,300.0,0.0,300.0,1.0,100.0,30000.0
6,7936,ASICS CORP,598.823894,1100.0,1698.823894,0.3524932137550921,35.24932137550921,21108.13588693986
7,4912,LION CORP,597.1250749999999,2700.0,3297.125075,0.181104768978168,18.1104768978168,10814.219875894622
8,2809,KEWPIE CORP,398.840229,1100.0,1498.840229,0.2660992287791069,26.609922877910694,10613.10773429824
9,1812,KAJIMA CORP,699.1342549999999,-6100.0,-5400.865745,0.1028269524882326,10.282695248823265,7188.984482178092
10,6787,MEIKO ELECTRONICS,100.0,-100.0,0.0,0.5,50.0,5000.0
11,6856,HORIBA LTD,10.759107,0.0,10.759107,1.0,100.0,1075.9107
12,8113,UNICHARM CORP,111.44149199999993,1700.0,1811.441492,0.0615208895745002,6.1520889574500215,685.5979723349544
13,6383,DAIFUKU CO LTD,46.58348899999976,400.0,446.58348899999976,0.1043108179039726,10.431081790397268,485.9161838410689
14,6702,FUJITSU,47.696068999999966,700.0,747.696069,0.0637907178832579,6.379071788325795,304.2566481719403
15,6701,NEC CORP,27.656698000000123,400.0,427.6566980000001,0.0646703258228873,6.46703258228873,178.85676708452036
16,9983,FAST RETAILING CO,1.7651610000000062,0.0,1.7651610000000062,1.0,100.0,176.51610000000062
17,6504,FUJI ELECTRIC CO.,16.316724999999963,200.0,216.316725,0.0754297893517016,7.542978935170161,123.07671296596406
18,7747,ASAHI INTECC CO LT,9.403317000000015,-100.0,-90.59668299999998,0.0859509314511918,8.595093145119186,80.82238548808284
19,6845,AZBIL CORP,7.8188420000001315,-100.0,-92.18115799999988,0.0725183266205003,7.2518326620500355,56.700933795009576
20,5344,MARUWA CO LTD,7.011197000000003,-100.0,-92.988803,0.0655183494489833,6.551834944898339,45.93620551016642
